GEOID,pov_population,pov_population_se,pov_rate,pov_rate_se,pov_asian_rate1,pov_black_rate1,pov_latino_rate1,pov_white_rate1,pov_asian_rate2,pov_asian_rate2_se,pov_black_rate2,pov_black_rate2_se,pov_latino_rate2,pov_latino_rate2_se,pov_white_rate2,pov_white_rate2_se,median_income,median_income_se,per_capita_income,per_capita_income_se,nativity,nativity_se,pop,pop_se,api,api_se,black,black_se,latino,latino_se,white,white_se
48113014132,2358,116.10942249240121,0.13273960983884647,0.042293445066345546,0.13399153737658676,0.34516765285996054,0,0.051932367149758456,0.04028837998303647,0.03474700611180436,0.07421543681085666,0.03435195295113547,0,0.003351456981471599,0.01823579304495335,0.011307796497327632,84100.61777777778,7939.771698750423,39709.31555555556,4027.5285376561974,0.3273960983884648,0.06041182244308305,2358,116.10942249240121,0.3006785411365564,0.062023170287081236,0.21501272264631044,0.02122384067863521,0.12680237489397794,0.04051256868078584,0.3511450381679389,0.031092736133646128
48113014133,4224,241.33738601823708,0.10558712121212122,0.0498632049528132,0,0.15487035739313246,0.23878627968337732,0.03313253012048193,0,0.0018709127751680944,0.05232007575757576,0.03152016925123562,0.042850378787878785,0.039357010147432696,0.010416666666666666,0.005146692226985591,46462.88888888889,4210.628841607566,28133.195555555558,1783.5325903411012,0.26420454545454547,0.046776455843344986,4224,241.33738601823708,0.12807765151515152,0.03228977872137615,0.3378314393939394,0.03910212520100965,0.17945075757575757,0.04593020109487558,0.3143939393939394,0.038309165659627185
48113014134,3919,148.32826747720364,0.005613676958407757,0.004338070349936932,0,0,0,0.009357720119098255,0,0.002016518387933154,0,0.002016518387933154,0,0.002016518387933154,0.005613676958407757,0.004338070349936932,144992.10222222222,5006.776089159068,67588.16444444445,6419.361026680176,0.29497320745088035,0.03809124431347486,3919,148.32826747720364,0.310028068384792,0.03928547055659887,0.02015820362337331,0.01549290511865897,0.06200561367695841,0.013761843323011204,0.5998979331462108,0.034452112016406626
48113014135,4458,176.29179331306992,0.02759084791386272,0.015096829320011032,0.10364963503649635,0,0.1205564142194745,0,0.015926424405563033,0.010754188224328089,0,0.0017727087398631742,0.017496635262449527,0.012662796567888934,0,0.0017727087398631742,90932.28000000001,12479.98108747045,39640.15111111111,2208.054035798717,0.2225705329153605,0.039943796037459706,4466,176.29179331306992,0.15338110165696373,0.044544164602113676,0.07187639946260636,0.036232571900031686,0.1450962830273175,0.05250227154868799,0.6202418271383788,0.04416764803726822
48113014136,5551,292.4012158054711,0.06593406593406594,0.025278892124047016,0.0430786904078116,0.08741030658838878,0,0.07848266841072596,0.013511079084849578,0.01279315702141405,0.024139794631597912,0.016707060918401583,0,0.0019712212646589046,0.021617726535759323,0.01243236049902789,64144.44444444445,5653.052347180007,41351.41333333334,3093.716987504222,0.37975139614483877,0.04467707977732088,5551,292.4012158054711,0.3136371824896415,0.05097752114227896,0.27616645649432536,0.05788422196282635,0.09313637182489641,0.02660091363350094,0.27544586560980006,0.03464736725456893
48113014137,3122,196.35258358662614,0.03427290198590647,0.02033121286575038,0,0.13953488372093023,0.04892966360856269,0.03307692307692308,0,0.0025313054331550385,0.015374759769378604,0.017107684728451162,0.005124919923126201,0.00505233974534752,0.013773222293401666,0.007544348177129433,81014.99111111111,6055.873015873017,81061.84444444445,12560.68085106383,0.376040999359385,0.048534123720487606,3122,196.35258358662614,0.34401024983984624,0.050742574911098286,0.11018577834721333,0.03614292018278011,0.10474055092889173,0.04291902471049176,0.41639974375400385,0.05460086834097055
48113014138,3422,212.7659574468085,0.09351256575102279,0.04761056739943101,0.05795677799607073,0.11210762331838565,0.030973451327433628,0.1192200557103064,0.017241379310344827,0.023602513157778286,0.007305669199298656,0.0049532885830653114,0.0020455873758036236,0.0019499564976847253,0.06253652834599649,0.04424082444680591,87650.31555555556,9133.992570077677,67851.43555555557,8078.792299898683,0.2939801285797779,0.03854359466999791,3422,212.7659574468085,0.29748684979544127,0.040637321331909976,0.06516656925774401,0.03726355522186514,0.06604324956165984,0.01855922357893357,0.5245470485096435,0.06512448658372337
48113014205,1493,99.08814589665653,0.004018754186202277,0.0036547981679580423,0,0,0,0.005988023952095809,0,0.005293191937247174,0,0.005293191937247174,0,0.005293191937247174,0.004018754186202277,0.0036547981679580423,156248.05777777778,11439.02195204323,85607.73333333334,9631.75413711584,0.12726054922973878,0.04240509565256204,1493,99.08814589665653,0.23442732752846618,0.034041510526707695,0.02344273275284662,0.01866502255489778,0.06028131279303416,0.031095668568430483,0.6711319490957803,0.048097354070966394
48085031004,5413,302.7355623100304,0.11989654535377794,0.03450571515429231,0.2909090909090909,0.3106060606060606,0.12118491921005387,0.11085685227561658,0.002955847034915943,0.002802734382863577,0.007574358026972104,0.010772879441093978,0.024939959357103268,0.014419940883242206,0.08054683170145945,0.024635358533799882,60106.13333333334,5889.048294495103,27220.671111111114,2335.5460992907806,0.0957466396612042,0.02584892099825733,5431,297.2644376899696,0.010127048425704291,0.007205045568670564,0.024304916221690297,0.014152979963248907,0.20511876265881054,0.054828325511317014,0.7274903332719573,0.017615722540035843
48085031201,5130,274.16413373860183,0.08401559454191034,0.023512017468086958,0.1891891891891892,0,0.21705426356589147,0.06382448267265022,0.0013645224171539962,0.0011827495693930374,0,0.0021329920546045967,0.03274853801169591,0.018878976586133005,0.04990253411306043,0.019369686446520804,80972.6,4870.468085106383,32410.23555555556,1662.1438703140832,0.03929961089494163,0.011699587207703985,5140,274.16413373860183,0.017509727626459144,0.009972988063945554,0.03132295719844358,0.011230225342014436,0.15058365758754863,0.02262520354520557,0.782295719844358,0.02470133099517315
