GEOID,NAME,Age,estimate,approx_moe
48001950100,"Census Tract 9501, Anderson County, Texas",50-54,447,124.77579893553076
48001950100,"Census Tract 9501, Anderson County, Texas",55-59,318,94.36630754670864
48001950100,"Census Tract 9501, Anderson County, Texas",60-61,173,73.00684899377592
48001950100,"Census Tract 9501, Anderson County, Texas",62-64,145,48.25971404805462
48001950100,"Census Tract 9501, Anderson County, Texas",65-66,84,38.18376618407357
48001950100,"Census Tract 9501, Anderson County, Texas",67-69,196,61.40032573203501
48001950100,"Census Tract 9501, Anderson County, Texas",70-74,340,95.01578816175763
48001950100,"Census Tract 9501, Anderson County, Texas",75-79,254,78.49203781276162
48001950401,"Census Tract 9504.01, Anderson County, Texas",50-54,314,101.40019723846694
48001950401,"Census Tract 9504.01, Anderson County, Texas",55-59,223,62.5859409132754
48001950401,"Census Tract 9504.01, Anderson County, Texas",60-61,47,39.56008088970496
48001950401,"Census Tract 9504.01, Anderson County, Texas",62-64,26,31.304951684997057
48001950401,"Census Tract 9504.01, Anderson County, Texas",65-66,27,32.202484376209235
48001950401,"Census Tract 9504.01, Anderson County, Texas",67-69,14,22.80350850198276
48001950401,"Census Tract 9504.01, Anderson County, Texas",70-74,21,21.02379604162864
48001950401,"Census Tract 9504.01, Anderson County, Texas",75-79,2,14.560219778561036
48001950402,"Census Tract 9504.02, Anderson County, Texas",50-54,790,175.03428235634297
48001950402,"Census Tract 9504.02, Anderson County, Texas",55-59,485,90.60905032059435
48001950402,"Census Tract 9504.02, Anderson County, Texas",60-61,167,64.8459713474939
48001950402,"Census Tract 9504.02, Anderson County, Texas",62-64,148,64.8459713474939
48001950402,"Census Tract 9504.02, Anderson County, Texas",65-66,64,43.382023926967726
48001950402,"Census Tract 9504.02, Anderson County, Texas",67-69,126,65.80273550544841
48001950402,"Census Tract 9504.02, Anderson County, Texas",70-74,24,28.319604517012593
48001950402,"Census Tract 9504.02, Anderson County, Texas",75-79,0,19
48001950500,"Census Tract 9505, Anderson County, Texas",50-54,224,107.44766167767449
48001950500,"Census Tract 9505, Anderson County, Texas",55-59,253,108.24047302187847
48001950500,"Census Tract 9505, Anderson County, Texas",60-61,69,42.80186911806539
48001950500,"Census Tract 9505, Anderson County, Texas",62-64,122,68.76772498781678
48001950500,"Census Tract 9505, Anderson County, Texas",65-66,44,28.0178514522438
48001950500,"Census Tract 9505, Anderson County, Texas",67-69,111,53.71219600798314
48001950500,"Census Tract 9505, Anderson County, Texas",70-74,175,74.33034373659252
48001950500,"Census Tract 9505, Anderson County, Texas",75-79,97,69.77822009767804
48001950600,"Census Tract 9506, Anderson County, Texas",50-54,334,127.88275880665071
48001950600,"Census Tract 9506, Anderson County, Texas",55-59,279,170.23806859806652
48001950600,"Census Tract 9506, Anderson County, Texas",60-61,101,101.40019723846694
48001950600,"Census Tract 9506, Anderson County, Texas",62-64,272,137
48001950600,"Census Tract 9506, Anderson County, Texas",65-66,117,82.46211251235322
48001950600,"Census Tract 9506, Anderson County, Texas",67-69,136,100.72239075796404
48001950600,"Census Tract 9506, Anderson County, Texas",70-74,181,106.02358228243375
48001950600,"Census Tract 9506, Anderson County, Texas",75-79,148,95.71311299921238
