GEOID,NAME,Age,estimate,approx_moe
48001950100,"Census Tract 9501, Anderson County, Texas",55-64,40,24.698178070456937
48001950100,"Census Tract 9501, Anderson County, Texas",65-74,35,26.92582403567252
48001950401,"Census Tract 9504.01, Anderson County, Texas",55-64,80,45.69463863518345
48001950401,"Census Tract 9504.01, Anderson County, Texas",65-74,8,22.80350850198276
48001950402,"Census Tract 9504.02, Anderson County, Texas",55-64,329,115.41230437002807
48001950402,"Census Tract 9504.02, Anderson County, Texas",65-74,41,37.589892258425
48001950500,"Census Tract 9505, Anderson County, Texas",55-64,34,31.78049716414141
48001950500,"Census Tract 9505, Anderson County, Texas",65-74,30,27.586228448267445
48001950600,"Census Tract 9506, Anderson County, Texas",55-64,184,91.67878707749138
48001950600,"Census Tract 9506, Anderson County, Texas",65-74,96,60.90155991434045
48001950700,"Census Tract 9507, Anderson County, Texas",55-64,81,37.53664875824692
48001950700,"Census Tract 9507, Anderson County, Texas",65-74,55,31.304951684997057
48001950800,"Census Tract 9508, Anderson County, Texas",55-64,52,45.60701700396552
48001950800,"Census Tract 9508, Anderson County, Texas",65-74,28,43.01162633521314
48001950901,"Census Tract 9509.01, Anderson County, Texas",55-64,141,66.85057965343307
48001950901,"Census Tract 9509.01, Anderson County, Texas",65-74,109,67.4166151627327
48001950902,"Census Tract 9509.02, Anderson County, Texas",55-64,35,42.15447781671598
48001950902,"Census Tract 9509.02, Anderson County, Texas",65-74,8,16.401219466856727
48001951000,"Census Tract 9510, Anderson County, Texas",55-64,89,45.803929962395145
48001951000,"Census Tract 9510, Anderson County, Texas",65-74,44,30.870698080866262
48001951100,"Census Tract 9511, Anderson County, Texas",55-64,116,66.70832032063167
48001951100,"Census Tract 9511, Anderson County, Texas",65-74,33,26.627053911388696
48003950100,"Census Tract 9501, Andrews County, Texas",55-64,13,22.20360331117452
48003950100,"Census Tract 9501, Andrews County, Texas",65-74,0,13
48003950200,"Census Tract 9502, Andrews County, Texas",55-64,8,24.08318915758459
48003950200,"Census Tract 9502, Andrews County, Texas",65-74,10,24.08318915758459
48003950300,"Census Tract 9503, Andrews County, Texas",55-64,0,13
48003950300,"Census Tract 9503, Andrews County, Texas",65-74,13,15.556349186104045
48003950400,"Census Tract 9504, Andrews County, Texas",55-64,0,13
48003950400,"Census Tract 9504, Andrews County, Texas",65-74,0,13
48005000101,"Census Tract 1.01, Angelina County, Texas",55-64,11,28.42534080710379
48005000101,"Census Tract 1.01, Angelina County, Texas",65-74,47,62.36184731067546
48005000102,"Census Tract 1.02, Angelina County, Texas",55-64,0,13
48005000102,"Census Tract 1.02, Angelina County, Texas",65-74,0,13
48005000200,"Census Tract 2, Angelina County, Texas",55-64,265,65.79513659838392
48005000200,"Census Tract 2, Angelina County, Texas",65-74,50,53.907327887774215
48005000301,"Census Tract 3.01, Angelina County, Texas",55-64,68,42.80186911806539
48005000301,"Census Tract 3.01, Angelina County, Texas",65-74,9,19.1049731745428
48005000302,"Census Tract 3.02, Angelina County, Texas",55-64,17,23.853720883753127
48005000302,"Census Tract 3.02, Angelina County, Texas",65-74,0,13
48005000400,"Census Tract 4, Angelina County, Texas",55-64,41,61.1310068623117
48005000400,"Census Tract 4, Angelina County, Texas",65-74,41,44.204072210600685
48005000500,"Census Tract 5, Angelina County, Texas",55-64,383,101.91172650877817
48005000500,"Census Tract 5, Angelina County, Texas",65-74,225,75.6042326857432
48005000600,"Census Tract 6, Angelina County, Texas",55-64,165,74.65252842335616
48005000600,"Census Tract 6, Angelina County, Texas",65-74,129,56.586217403180434
48005000700,"Census Tract 7, Angelina County, Texas",55-64,74,63.60031446463138
48005000700,"Census Tract 7, Angelina County, Texas",65-74,91,44.721359549995796
48005000800,"Census Tract 8, Angelina County, Texas",55-64,161,114.23659658795863
48005000800,"Census Tract 8, Angelina County, Texas",65-74,21,39.35733730830886
48005000901,"Census Tract 9.01, Angelina County, Texas",55-64,117,90.4267659490264
48005000901,"Census Tract 9.01, Angelina County, Texas",65-74,30,28.0178514522438
48005000902,"Census Tract 9.02, Angelina County, Texas",55-64,34,33.015148038438355
48005000902,"Census Tract 9.02, Angelina County, Texas",65-74,11,22.20360331117452
48005001001,"Census Tract 10.01, Angelina County, Texas",55-64,184,74.81310045707235
48005001001,"Census Tract 10.01, Angelina County, Texas",65-74,39,28.30194339616981
48005001002,"Census Tract 10.02, Angelina County, Texas",55-64,33,28.635642126552707
48005001002,"Census Tract 10.02, Angelina County, Texas",65-74,0,13
48005001100,"Census Tract 11, Angelina County, Texas",55-64,22,21.02379604162864
48005001100,"Census Tract 11, Angelina County, Texas",65-74,39,34.655446902326915
48005001200,"Census Tract 12, Angelina County, Texas",55-64,6,17.029386365926403
48005001200,"Census Tract 12, Angelina County, Texas",65-74,6,15.811388300841896
48005001300,"Census Tract 13, Angelina County, Texas",55-64,0,18
48005001300,"Census Tract 13, Angelina County, Texas",65-74,0,18
48007950100,"Census Tract 9501, Aransas County, Texas",55-64,0,18
48007950100,"Census Tract 9501, Aransas County, Texas",65-74,0,18
48007950200,"Census Tract 9502, Aransas County, Texas",55-64,0,13
48007950200,"Census Tract 9502, Aransas County, Texas",65-74,0,13
