Year,Race,Sex,Age,Pop
2005,Total,F,65-69,358583
2005,Total,M,65-69,316504
2005,Total,F,70-74,303803
2005,Total,M,70-74,251494
2005,Total,F,75-79,259524
2005,Total,M,75-79,191166
2005,Total,F,80-84,196550
2005,Total,M,80-84,124310
2005,Total,F,85+,177125
2005,Total,M,85+,78755
2006,Total,F,20-24,851616
2006,Total,M,20-24,912078
2006,Total,F,25-29,845320
2006,Total,M,25-29,859198
2006,Total,F,30-34,824461
2006,Total,M,30-34,832898
2006,Total,F,35-39,837317
2006,Total,M,35-39,835581
2006,Total,F,40-44,856934
2006,Total,M,40-44,850455
2006,Total,F,45-49,849988
2006,Total,M,45-49,843598
2006,Total,F,50-54,755537
2006,Total,M,50-54,731308
2006,Total,F,55-59,655562
2006,Total,M,55-59,620616
2006,Total,F,60-64,477575
2006,Total,M,60-64,442934
2006,Total,F,65-69,374167
2006,Total,M,65-69,330797
2006,Total,F,70-74,311276
2006,Total,M,70-74,257672
2006,Total,F,75-79,262961
2006,Total,M,75-79,196521
2006,Total,F,80-84,201315
2006,Total,M,80-84,128474
2006,Total,F,85+,182870
2006,Total,M,85+,83598
2007,Total,F,20-24,854063
2007,Total,M,20-24,912078
2007,Total,F,25-29,871577
2007,Total,M,25-29,886786
2007,Total,F,30-34,831034
2007,Total,M,30-34,836572
2007,Total,F,35-39,861877
2007,Total,M,35-39,856728
2007,Total,F,40-44,847886
2007,Total,M,40-44,843415
2007,Total,F,45-49,861714
2007,Total,M,45-49,855251
2007,Total,F,50-54,786113
2007,Total,M,50-54,761793
2007,Total,F,55-59,666115
2007,Total,M,55-59,629158
2007,Total,F,60-64,520691
2007,Total,M,60-64,484166
2007,Total,F,65-69,389787
2007,Total,M,65-69,346709
2007,Total,F,70-74,315323
2007,Total,M,70-74,262639
2007,Total,F,75-79,263573
2007,Total,M,75-79,199029
2007,Total,F,80-84,203488
2007,Total,M,80-84,131143
2007,Total,F,85+,188210
2007,Total,M,85+,88196
2008,Total,F,20-24,862114
2008,Total,M,20-24,915520
2008,Total,F,25-29,895746
2008,Total,M,25-29,914368
2008,Total,F,30-34,839275
2008,Total,M,30-34,846513
2008,Total,F,35-39,878126
2008,Total,M,35-39,870224
2008,Total,F,40-44,840021
2008,Total,M,40-44,837059
2008,Total,F,45-49,873014
2008,Total,M,45-49,866060
2008,Total,F,50-54,810070
2008,Total,M,50-54,787240
2008,Total,F,55-59,687559
2008,Total,M,55-59,648713
2008,Total,F,60-64,551578
2008,Total,M,60-64,512040
2008,Total,F,65-69,411121
2008,Total,M,65-69,368206
2008,Total,F,70-74,322714
2008,Total,M,70-74,270591
2008,Total,F,75-79,264938
2008,Total,M,75-79,202056
2008,Total,F,80-84,205270
2008,Total,M,80-84,133381
2008,Total,F,85+,192848
2008,Total,M,85+,92863
2009,Total,F,20-24,874693
2009,Total,M,20-24,923165
2009,Total,F,25-29,910067
2009,Total,M,25-29,931677
2009,Total,F,30-34,859156
2009,Total,M,30-34,865169
2009,Total,F,35-39,886544
2009,Total,M,35-39,876816
2009,Total,F,40-44,840223
2009,Total,M,40-44,838307
2009,Total,F,45-49,884886
2009,Total,M,45-49,876029
2009,Total,F,50-54,830458
2009,Total,M,50-54,810065
2009,Total,F,55-59,712749
2009,Total,M,55-59,671711
2009,Total,F,60-64,582511
2009,Total,M,60-64,541181
2009,Total,F,65-69,433412
2009,Total,M,65-69,389015
2009,Total,F,70-74,330923
2009,Total,M,70-74,278900
2009,Total,F,75-79,266452
2009,Total,M,75-79,204914
2009,Total,F,80-84,206242
2009,Total,M,80-84,136120
2009,Total,F,85+,199210
2009,Total,M,85+,97557
2010,Total,F,20-24,890241
2010,Total,M,20-24,937299
2010,Total,F,25-29,916545
2010,Total,M,25-29,942138
2010,Total,F,30-34,883021
2010,Total,M,30-34,888917
2010,Total,F,35-39,886851
2010,Total,M,35-39,875388
2010,Total,F,40-44,852552
2010,Total,M,40-44,851006
2010,Total,F,45-49,883941
2010,Total,M,45-49,873715
2010,Total,F,50-54,850883
2010,Total,M,50-54,831687
2010,Total,F,55-59,737776
2010,Total,M,55-59,697477
2010,Total,F,60-64,616296
2010,Total,M,60-64,571994
2010,Total,F,65-69,453184
2010,Total,M,65-69,406625
2010,Total,F,70-74,337833
2010,Total,M,70-74,286487
2010,Total,F,75-79,269481
2010,Total,M,75-79,209255
2010,Total,F,80-84,209002
2010,Total,M,80-84,140254
2010,Total,F,85+,206264
2010,Total,M,85+,102364
2011,Total,F,20-24,913260
2011,Total,M,20-24,959348
2011,Total,F,25-29,926676
2011,Total,M,25-29,954747
2011,Total,F,30-34,906730
2011,Total,M,30-34,913592
2011,Total,F,35-39,879925
2011,Total,M,35-39,869122
2011,Total,F,40-44,876705
2011,Total,M,40-44,870932
2011,Total,F,45-49,873189
2011,Total,M,45-49,865062
2011,Total,F,50-54,866011
2011,Total,M,50-54,846543
2011,Total,F,55-59,761903
2011,Total,M,55-59,721435
2011,Total,F,60-64,649733
2011,Total,M,60-64,600647
2011,Total,F,65-69,468405
2011,Total,M,65-69,421555
2011,Total,F,70-74,349445
2011,Total,M,70-74,297763
2011,Total,F,75-79,274450
2011,Total,M,75-79,214109
2011,Total,F,80-84,211449
2011,Total,M,80-84,144143
2011,Total,F,85+,212997
2011,Total,M,85+,107554
2012,Total,F,20-24,937836
2012,Total,M,20-24,992082
2012,Total,F,25-29,935884
2012,Total,M,25-29,968918
2012,Total,F,30-34,930319
2012,Total,M,30-34,941374
2012,Total,F,35-39,882956
2012,Total,M,35-39,874197
2012,Total,F,40-44,897574
2012,Total,M,40-44,888878
2012,Total,F,45-49,863692
2012,Total,M,45-49,855895
2012,Total,F,50-54,874984
2012,Total,M,50-54,856434
2012,Total,F,55-59,789407
2012,Total,M,55-59,748250
2012,Total,F,60-64,657855
2012,Total,M,60-64,605828
2012,Total,F,65-69,509861
2012,Total,M,65-69,459648
2012,Total,F,70-74,364259
2012,Total,M,70-74,311419
2012,Total,F,75-79,279524
2012,Total,M,75-79,219199
2012,Total,F,80-84,214011
2012,Total,M,80-84,147746
2012,Total,F,85+,220046
2012,Total,M,85+,113160
2013,Total,F,20-24,953622
2013,Total,M,20-24,1012187
2013,Total,F,25-29,945812
2013,Total,M,25-29,981691
2013,Total,F,30-34,952345
2013,Total,M,30-34,967962
2013,Total,F,35-39,889916
2013,Total,M,35-39,885303
2013,Total,F,40-44,909515
