Year,Race,Sex,Age,Pop
2002,AI,F,35-39,3358
2002,API,F,35-39,31217
2002,B,F,35-39,105021
2002,W,F,35-39,411528
2002,AI,M,35-39,3189
2002,API,M,35-39,31102
2002,B,M,35-39,95869
2002,W,M,35-39,413474
2002,AI,F,40-44,3832
2002,API,F,40-44,28678
2002,B,F,40-44,105862
2002,W,F,40-44,470706
2002,AI,M,40-44,3547
2002,API,M,40-44,26917
2002,B,M,40-44,97519
2002,W,M,40-44,473320
2002,AI,F,45-49,3669
2002,API,F,45-49,26473
2002,B,F,45-49,91805
2002,W,F,45-49,453862
2002,AI,M,45-49,3398
2002,API,M,45-49,23690
2002,B,M,45-49,85051
2002,W,M,45-49,451930
2002,AI,F,50-54,3108
2002,API,F,50-54,22743
2002,B,F,50-54,74022
2002,W,F,50-54,403167
2002,AI,M,50-54,3056
2002,API,M,50-54,19519
2002,B,M,50-54,66159
2002,W,M,50-54,397517
2002,AI,F,55-59,2308
2002,API,F,55-59,14935
2002,B,F,55-59,50794
2002,W,F,55-59,340076
2002,AI,M,55-59,2362
2002,API,M,55-59,13593
2002,B,M,55-59,43691
2002,W,M,55-59,333198
2002,AI,F,60-64,1497
2002,API,F,60-64,10166
2002,B,F,60-64,38413
2002,W,F,60-64,261830
2002,AI,M,60-64,1627
2002,API,M,60-64,9228
2002,B,M,60-64,31745
2002,W,M,60-64,248615
2002,AI,F,65-69,965
2002,API,F,65-69,7553
2002,B,F,65-69,32983
2002,W,F,65-69,223710
2002,AI,M,65-69,1048
2002,API,M,65-69,6293
2002,B,M,65-69,25063
2002,W,M,65-69,203225
2002,AI,F,70-74,708
2002,API,F,70-74,5561
2002,B,F,70-74,27346
2002,W,F,70-74,205877
2002,AI,M,70-74,678
2002,API,M,70-74,4185
2002,B,M,70-74,18834
2002,W,M,70-74,173516
2002,AI,F,75-79,521
2002,API,F,75-79,3563
2002,B,F,75-79,21394
2002,W,F,75-79,184652
2002,AI,M,75-79,394
2002,API,M,75-79,2338
2002,B,M,75-79,12905
2002,W,M,75-79,134421
2002,AI,F,80-84,323
2002,API,F,80-84,1817
2002,B,F,80-84,14140
2002,W,F,80-84,138598
2002,AI,M,80-84,221
2002,API,M,80-84,1353
2002,B,M,80-84,7685
2002,W,M,80-84,85604
2002,AI,F,85+,276
2002,API,F,85+,1326
2002,B,F,85+,14349
2002,W,F,85+,132202
2002,AI,M,85+,120
2002,API,M,85+,769
2002,B,M,85+,5319
2002,W,M,85+,53033
2003,AI,F,20-24,3394
2003,API,F,20-24,29682
2003,B,F,20-24,105525
2003,W,F,20-24,363632
2003,AI,M,20-24,3462
2003,API,M,20-24,30799
2003,B,M,20-24,103489
2003,W,M,20-24,366891
2003,AI,F,25-29,2805
2003,API,F,25-29,36621
2003,B,F,25-29,94696
2003,W,F,25-29,329278
2003,AI,M,25-29,2849
2003,API,M,25-29,35997
2003,B,M,25-29,85908
2003,W,M,25-29,328861
2003,AI,F,30-34,3026
2003,API,F,30-34,39061
2003,B,F,30-34,101616
2003,W,F,30-34,374878
2003,AI,M,30-34,3156
2003,API,M,30-34,37600
2003,B,M,30-34,92717
2003,W,M,30-34,380699
2003,AI,F,35-39,3233
2003,API,F,35-39,32768
2003,B,F,35-39,103373
2003,W,F,35-39,392361
2003,AI,M,35-39,2978
2003,API,M,35-39,32309
2003,B,M,35-39,94065
2003,W,M,35-39,394994
2003,AI,F,40-44,3771
2003,API,F,40-44,30012
2003,B,F,40-44,107467
2003,W,F,40-44,466381
2003,AI,M,40-44,3522
2003,API,M,40-44,28563
2003,B,M,40-44,98440
2003,W,M,40-44,466694
2003,AI,F,45-49,3873
2003,API,F,45-49,27546
2003,B,F,45-49,95623
2003,W,F,45-49,460542
2003,AI,M,45-49,3586
2003,API,M,45-49,24920
2003,B,M,45-49,88489
2003,W,M,45-49,458752
2003,AI,F,50-54,3176
2003,API,F,50-54,24147
2003,B,F,50-54,77706
2003,W,F,50-54,410401
2003,AI,M,50-54,3078
2003,API,M,50-54,20650
2003,B,M,50-54,69733
2003,W,M,50-54,404048
2003,AI,F,55-59,2451
2003,API,F,55-59,16904
2003,B,F,55-59,54689
2003,W,F,55-59,353950
2003,AI,M,55-59,2476
2003,API,M,55-59,14922
2003,B,M,55-59,47094
2003,W,M,55-59,347013
2003,AI,F,60-64,1615
2003,API,F,60-64,11093
2003,B,F,60-64,40125
2003,W,F,60-64,275246
2003,AI,M,60-64,1788
2003,API,M,60-64,10193
2003,B,M,60-64,33564
2003,W,M,60-64,262363
2003,AI,F,65-69,1034
2003,API,F,65-69,8031
2003,B,F,65-69,33135
2003,W,F,65-69,227606
2003,AI,M,65-69,1151
2003,API,M,65-69,6894
2003,B,M,65-69,25396
2003,W,M,65-69,207071
2003,AI,F,70-74,759
2003,API,F,70-74,6048
2003,B,F,70-74,28032
2003,W,F,70-74,205110
2003,AI,M,70-74,694
2003,API,M,70-74,4558
2003,B,M,70-74,19332
2003,W,M,70-74,174108
2003,AI,F,75-79,520
2003,API,F,75-79,3887
2003,B,F,75-79,21677
2003,W,F,75-79,183580
2003,AI,M,75-79,398
2003,API,M,75-79,2528
2003,B,M,75-79,13085
2003,W,M,75-79,135466
2003,AI,F,80-84,339
2003,API,F,80-84,2051
2003,B,F,80-84,14370
2003,W,F,80-84,140756
2003,AI,M,80-84,240
2003,API,M,80-84,1497
2003,B,M,80-84,7793
2003,W,M,80-84,88192
2003,AI,F,85+,286
2003,API,F,85+,1446
2003,B,F,85+,14243
2003,W,F,85+,133330
2003,AI,M,85+,133
2003,API,M,85+,849
2003,B,M,85+,5237
2003,W,M,85+,54928
2004,AI,F,20-24,3436
2004,API,F,20-24,30376
2004,B,F,20-24,105978
2004,W,F,20-24,365917
2004,AI,M,20-24,3445
2004,API,M,20-24,31345
2004,B,M,20-24,105763
2004,W,M,20-24,371694
2004,AI,F,25-29,2934
2004,API,F,25-29,37850
2004,B,F,25-29,96802
2004,W,F,25-29,333356
2004,AI,M,25-29,2907
2004,API,M,25-29,36698
2004,B,M,25-29,87550
2004,W,M,25-29,331019
2004,AI,F,30-34,2926
2004,API,F,30-34,40646
2004,B,F,30-34,102248
2004,W,F,30-34,365010
2004,AI,M,30-34,3081
2004,API,M,30-34,38796
2004,B,M,30-34,93182
2004,W,M,30-34,372074
2004,AI,F,35-39,3137
2004,API,F,35-39,34712
2004,B,F,35-39,101642
2004,W,F,35-39,379681
2004,AI,M,35-39,2931
2004,API,M,35-39,33845
2004,B,M,35-39,93049
2004,W,M,35-39,384332
2004,AI,F,40-44,3859
2004,API,F,40-44,31418
2004,B,F,40-44,108598
2004,W,F,40-44,461378
2004,AI,M,40-44,3556
2004,API,M,40-44,30436
2004,B,M,40-44,99112
2004,W,M,40-44,459889
2004,AI,F,45-49,3890
2004,API,F,45-49,28744
2004,B,F,45-49,99083
2004,W,F,45-49,463409
2004,AI,M,45-49,3598
2004,API,M,45-49,26013
2004,B,M,45-49,91808
2004,W,M,45-49,463464
2004,AI,F,50-54,3316
2004,API,F,50-54,25284
2004,B,F,50-54,81453
2004,W,F,50-54,420416
2004,AI,M,50-54,3142
2004,API,M,50-54,21757
2004,B,M,50-54,73253
2004,W,M,50-54,412917
2004,AI,F,55-59,2620
2004,API,F,55-59,18884
2004,B,F,55-59,59287
2004,W,F,55-59,368019
2004,AI,M,55-59,2636
2004,API,M,55-59,16354
2004,B,M,55-59,51361
2004,W,M,55-59,359792
2004,AI,F,60-64,1733
2004,API,F,60-64,12088
2004,B,F,60-64,42186
2004,W,F,60-64,287786
2004,AI,M,60-64,1952
2004,API,M,60-64,11181
2004,B,M,60-64,34919
2004,W,M,60-64,275315
2004,AI,F,65-69,1117
2004,API,F,65-69,8770
2004,B,F,65-69,33672
2004,W,F,65-69,232365
2004,AI,M,65-69,1194
2004,API,M,65-69,7567
2004,B,M,65-69,25920
2004,W,M,65-69,212319
2004,AI,F,70-74,794
2004,API,F,70-74,6404
2004,B,F,70-74,27981
2004,W,F,70-74,204560
2004,AI,M,70-74,707
2004,API,M,70-74,4988
2004,B,M,70-74,19962
2004,W,M,70-74,174155
2004,AI,F,75-79,556
2004,API,F,75-79,4204
2004,B,F,75-79,22182
2004,W,F,75-79,181399
2004,AI,M,75-79,447
2004,API,M,75-79,2803
2004,B,M,75-79,13289
2004,W,M,75-79,136538
2004,AI,F,80-84,357
2004,API,F,80-84,2343
2004,B,F,80-84,14711
2004,W,F,80-84,144476
2004,AI,M,80-84,254
2004,API,M,80-84,1662
2004,B,M,80-84,7956
2004,W,M,80-84,90932
2004,AI,F,85+,289
2004,API,F,85+,1539
2004,B,F,85+,14217
2004,W,F,85+,133768
2004,AI,M,85+,139
2004,API,M,85+,902
2004,B,M,85+,5189
2004,W,M,85+,56789
2005,AI,F,20-24,3524
2005,API,F,20-24,30755
2005,B,F,20-24,106417
2005,W,F,20-24,364094
2005,AI,M,20-24,3433
2005,API,M,20-24,31983
2005,B,M,20-24,107878
2005,W,M,20-24,373249
2005,AI,F,25-29,2913
2005,API,F,25-29,39080
2005,B,F,25-29,100119
2005,W,F,25-29,340326
2005,AI,M,25-29,2966
2005,API,M,25-29,37717
2005,B,M,25-29,90678
2005,W,M,25-29,337630
2005,AI,F,30-34,2906
2005,API,F,30-34,42145
2005,B,F,30-34,101225
2005,W,F,30-34,353461
2005,AI,M,30-34,3009
2005,API,M,30-34,39874
2005,B,M,30-34,92923
2005,W,M,30-34,359926
2005,AI,F,35-39,3111
2005,API,F,35-39,37542
2005,B,F,35-39,101540
2005,W,F,35-39,376381
2005,AI,M,35-39,2903
2005,API,M,35-39,35960
2005,B,M,35-39,93189
2005,W,M,35-39,383153
2005,AI,F,40-44,3812
2005,API,F,40-44,32568
2005,B,F,40-44,109408
2005,W,F,40-44,448300
2005,AI,M,40-44,3463
2005,API,M,40-44,32042
2005,B,M,40-44,99133
2005,W,M,40-44,445998
2005,AI,F,45-49,3937
2005,API,F,45-49,30008
2005,B,F,45-49,101815
2005,W,F,45-49,466080
2005,AI,M,45-49,3642
2005,API,M,45-49,27339
2005,B,M,45-49,94587
2005,W,M,45-49,466656
2005,AI,F,50-54,3373
2005,API,F,50-54,26501
2005,B,F,50-54,85197
2005,W,F,50-54,431297
2005,AI,M,50-54,3320
2005,API,M,50-54,22818
2005,B,M,50-54,76964
2005,W,M,50-54,424172
2005,AI,F,55-59,2845
2005,API,F,55-59,21069
2005,B,F,55-59,64368
2005,W,F,55-59,384054
2005,AI,M,55-59,2743
2005,API,M,55-59,18138
2005,B,M,55-59,56290
2005,W,M,55-59,375225
2005,AI,F,60-64,1830
2005,API,F,60-64,13477
2005,B,F,60-64,44321
2005,W,F,60-64,299020
2005,AI,M,60-64,1985
2005,API,M,60-64,12185
2005,B,M,60-64,36685
2005,W,M,60-64,285774
2005,AI,F,65-69,1186
2005,API,F,65-69,9591
2005,B,F,65-69,34398
2005,W,F,65-69,235993
2005,AI,M,65-69,1303
2005,API,M,65-69,8317
2005,B,M,65-69,26520
2005,W,M,65-69,216420
2005,AI,F,70-74,809
2005,API,F,70-74,6741
2005,B,F,70-74,28339
2005,W,F,70-74,205271
2005,AI,M,70-74,770
2005,API,M,70-74,5510
2005,B,M,70-74,20475
2005,W,M,70-74,176157
2005,AI,F,75-79,593
2005,API,F,75-79,4698
2005,B,F,75-79,22794
2005,W,F,75-79,181688
2005,AI,M,75-79,481
2005,API,M,75-79,3160
2005,B,M,75-79,13461
2005,W,M,75-79,139095
2005,AI,F,80-84,385
2005,API,F,80-84,2545
2005,B,F,80-84,15009
2005,W,F,80-84,146285
2005,AI,M,80-84,280
2005,API,M,80-84,1772
2005,B,M,80-84,8179
2005,W,M,80-84,92807
2005,AI,F,85+,304
2005,API,F,85+,1713
2005,B,F,85+,14439
2005,W,F,85+,136913
2005,AI,M,85+,155
2005,API,M,85+,1016
2005,B,M,85+,5368
2005,W,M,85+,60020
2006,AI,F,20-24,3474
2006,API,F,20-24,31471
2006,B,F,20-24,111938
2006,W,F,20-24,361889
2006,AI,M,20-24,3414
2006,API,M,20-24,33129
2006,B,M,20-24,112611
2006,W,M,20-24,373984
2006,AI,F,25-29,2999
2006,API,F,25-29,40970
2006,B,F,25-29,108757
2006,W,F,25-29,353150
2006,AI,M,25-29,3060
2006,API,M,25-29,38622
2006,B,M,25-29,96954
2006,W,M,25-29,347924
2006,AI,F,30-34,2822
2006,API,F,30-34,43982
2006,B,F,30-34,104329
2006,W,F,30-34,341309
2006,AI,M,30-34,2908
2006,API,M,30-34,40937
2006,B,M,30-34,94067
2006,W,M,30-34,348558
2006,AI,F,35-39,3194
2006,API,F,35-39,40821
2006,B,F,35-39,106772
2006,W,F,35-39,382401
2006,AI,M,35-39,2961
2006,API,M,35-39,38405
2006,B,M,35-39,96390
2006,W,M,35-39,388239
2006,AI,F,40-44,3702
2006,API,F,40-44,34666
2006,B,F,40-44,112079
2006,W,F,40-44,432036
2006,AI,M,40-44,3474
2006,API,M,40-44,34091
2006,B,M,40-44,101044
2006,W,M,40-44,429147
2006,AI,F,45-49,4094
2006,API,F,45-49,31257
2006,B,F,45-49,107907
2006,W,F,45-49,470478
2006,AI,M,45-49,3681
2006,API,M,45-49,28859
2006,B,M,45-49,98978
2006,W,M,45-49,471314
2006,AI,F,50-54,3503
2006,API,F,50-54,28009
2006,B,F,50-54,91369
2006,W,F,50-54,442139
2006,AI,M,50-54,3391
2006,API,M,50-54,24404
2006,B,M,50-54,82747
2006,W,M,50-54,434910
2006,AI,F,55-59,3041
2006,API,F,55-59,23319
2006,B,F,55-59,72104
2006,W,F,55-59,403892
2006,AI,M,55-59,2949
2006,API,M,55-59,19743
2006,B,M,55-59,62323
2006,W,M,55-59,393124
2006,AI,F,60-64,1921
2006,API,F,60-64,14931
2006,B,F,60-64,47286
2006,W,F,60-64,306679
2006,AI,M,60-64,2096
2006,API,M,60-64,13343
2006,B,M,60-64,39129
2006,W,M,60-64,294380
2006,AI,F,65-69,1259
2006,API,F,65-69,10420
2006,B,F,65-69,36755
2006,W,F,65-69,244820
2006,AI,M,65-69,1362
2006,API,M,65-69,9294
2006,B,M,65-69,28181
2006,W,M,65-69,224767
2006,AI,F,70-74,846
2006,API,F,70-74,7386
2006,B,F,70-74,29594
2006,W,F,70-74,207953
2006,AI,M,70-74,828
2006,API,M,70-74,6065
2006,B,M,70-74,21161
2006,W,M,70-74,179035
2006,AI,F,75-79,607
2006,API,F,75-79,5126
2006,B,F,75-79,23412
2006,W,F,75-79,182395
2006,AI,M,75-79,522
2006,API,M,75-79,3539
2006,B,M,75-79,14022
2006,W,M,75-79,142164
2006,AI,F,80-84,397
2006,API,F,80-84,2870
2006,B,F,80-84,15911
2006,W,F,80-84,147637
2006,AI,M,80-84,285
2006,API,M,80-84,1951
2006,B,M,80-84,8503
2006,W,M,80-84,95118
2006,AI,F,85+,328
2006,API,F,85+,1889
2006,B,F,85+,14928
2006,W,F,85+,140543
2006,AI,M,85+,166
2006,API,M,85+,1141
2006,B,M,85+,5738
2006,W,M,85+,63447
2007,AI,F,20-24,3385
2007,API,F,20-24,32364
2007,B,F,20-24,111578
2007,W,F,20-24,359453
2007,AI,M,20-24,3421
2007,API,M,20-24,34071
2007,B,M,20-24,112124
2007,W,M,20-24,371365
2007,AI,F,25-29,3125
2007,API,F,25-29,42596
2007,B,F,25-29,111263
2007,W,F,25-29,363650
2007,AI,M,25-29,3096
2007,API,M,25-29,39987
2007,B,M,25-29,100547
2007,W,M,25-29,359098
2007,AI,F,30-34,2807
2007,API,F,30-34,45352
2007,B,F,30-34,104458
2007,W,F,30-34,337552
2007,AI,M,30-34,2797
2007,API,M,30-34,42001
2007,B,M,30-34,93813
2007,W,M,30-34,343046
2007,AI,F,35-39,3291
2007,API,F,35-39,44447
2007,B,F,35-39,108957
2007,W,F,35-39,385031
2007,AI,M,35-39,3092
2007,API,M,35-39,41433
2007,B,M,35-39,98395
2007,W,M,35-39,390649
2007,AI,F,40-44,3579
2007,API,F,40-44,36650
2007,B,F,40-44,110894
2007,W,F,40-44,413889
2007,AI,M,40-44,3333
2007,API,M,40-44,35717
2007,B,M,40-44,100748
2007,W,M,40-44,413372
2007,AI,F,45-49,4083
2007,API,F,45-49,32574
2007,B,F,45-49,109701
2007,W,F,45-49,468326
2007,AI,M,45-49,3728
2007,API,M,45-49,30469
2007,B,M,45-49,100211
2007,W,M,45-49,468939
2007,AI,F,50-54,3710
2007,API,F,50-54,29673
2007,B,F,50-54,95473
2007,W,F,50-54,454382
2007,AI,M,50-54,3490
2007,API,M,50-54,25942
2007,B,M,50-54,87438
2007,W,M,50-54,446772
2007,AI,F,55-59,2990
2007,API,F,55-59,25034
2007,B,F,55-59,76120
2007,W,F,55-59,401805
2007,AI,M,55-59,2948
2007,API,M,55-59,21024
2007,B,M,55-59,65614
2007,W,M,55-59,390105
2007,AI,F,60-64,2189
2007,API,F,60-64,16658
2007,B,F,60-64,50836
2007,W,F,60-64,334349
2007,AI,M,60-64,2259
2007,API,M,60-64,14770
2007,B,M,60-64,42321
2007,W,M,60-64,321602
2007,AI,F,65-69,1377
2007,API,F,65-69,11475
2007,B,F,65-69,37866
2007,W,F,65-69,254527
2007,AI,M,65-69,1473
2007,API,M,65-69,10104
2007,B,M,65-69,29503
2007,W,M,65-69,234983
2007,AI,F,70-74,885
2007,API,F,70-74,7949
2007,B,F,70-74,30157
2007,W,F,70-74,208745
2007,AI,M,70-74,868
2007,API,M,70-74,6681
2007,B,M,70-74,21390
2007,W,M,70-74,181408
2007,AI,F,75-79,656
2007,API,F,75-79,5425
2007,B,F,75-79,23480
2007,W,F,75-79,180869
2007,AI,M,75-79,545
2007,API,M,75-79,3921
2007,B,M,75-79,14330
2007,W,M,75-79,142813
2007,AI,F,80-84,391
2007,API,F,80-84,3197
2007,B,F,80-84,16300
2007,W,F,80-84,147646
2007,AI,M,80-84,305
2007,API,M,80-84,2061
2007,B,M,80-84,8580
2007,W,M,80-84,96644
2007,AI,F,85+,338
2007,API,F,85+,2103
2007,B,F,85+,15130
2007,W,F,85+,143648
2007,AI,M,85+,170
2007,API,M,85+,1286
2007,B,M,85+,5911
2007,W,M,85+,66622
2008,AI,F,20-24,3415
2008,API,F,20-24,33605
2008,B,F,20-24,112194
2008,W,F,20-24,359484
2008,AI,M,20-24,3296
2008,API,M,20-24,35406
2008,B,M,20-24,111854
2008,W,M,20-24,369999
2008,AI,F,25-29,3168
2008,API,F,25-29,44411
2008,B,F,25-29,114087
2008,W,F,25-29,371964
2008,AI,M,25-29,3196
2008,API,M,25-29,41322
2008,B,M,25-29,104532
2008,W,M,25-29,371487
2008,AI,F,30-34,2859
2008,API,F,30-34,46017
2008,B,F,30-34,105432
2008,W,F,30-34,337575
2008,AI,M,30-34,2828
2008,API,M,30-34,42347
2008,B,M,30-34,94703
2008,W,M,30-34,343847
2008,AI,F,35-39,3380
2008,API,F,35-39,47551
2008,B,F,35-39,110782
2008,W,F,35-39,382521
2008,AI,M,35-39,3132
2008,API,M,35-39,43999
2008,B,M,35-39,100372
2008,W,M,35-39,386988
2008,AI,F,40-44,3456
2008,API,F,40-44,38585
2008,B,F,40-44,109541
2008,W,F,40-44,396587
2008,AI,M,40-44,3252
2008,API,M,40-44,37443
2008,B,M,40-44,99970
2008,W,M,40-44,398353
2008,AI,F,45-49,4055
2008,API,F,45-49,34338
2008,B,F,45-49,111629
2008,W,F,45-49,465061
2008,AI,M,45-49,3724
2008,API,M,45-49,32410
2008,B,M,45-49,102164
2008,W,M,45-49,464407
2008,AI,F,50-54,3928
2008,API,F,50-54,31036
2008,B,F,50-54,99599
2008,W,F,50-54,462114
2008,AI,M,50-54,3702
2008,API,M,50-54,27485
2008,B,M,50-54,91349
2008,W,M,50-54,455099
2008,AI,F,55-59,3076
2008,API,F,55-59,26670
2008,B,F,55-59,79780
2008,W,F,55-59,409342
2008,AI,M,55-59,2961
2008,API,M,55-59,22300
2008,B,M,55-59,68958
2008,W,M,55-59,396666
2008,AI,F,60-64,2319
2008,API,F,60-64,18759
2008,B,F,60-64,54762
2008,W,F,60-64,349243
2008,AI,M,60-64,2344
2008,API,M,60-64,16108
2008,B,M,60-64,45534
2008,W,M,60-64,335718
2008,AI,F,65-69,1490
2008,API,F,65-69,12510
2008,B,F,65-69,39469
2008,W,F,65-69,268593
2008,AI,M,65-69,1595
2008,API,M,65-69,11251
2008,B,M,65-69,31340
2008,W,M,65-69,249275
2008,AI,F,70-74,957
2008,API,F,70-74,8532
2008,B,F,70-74,29921
2008,W,F,70-74,212476
2008,AI,M,70-74,949
2008,API,M,70-74,7403
2008,B,M,70-74,21581
2008,W,M,70-74,185501
2008,AI,F,75-79,696
2008,API,F,75-79,5833
2008,B,F,75-79,23888
2008,W,F,75-79,180376
2008,AI,M,75-79,570
2008,API,M,75-79,4321
2008,B,M,75-79,14661
2008,W,M,75-79,144195
2008,AI,F,80-84,393
2008,API,F,80-84,3478
2008,B,F,80-84,16341
2008,W,F,80-84,147030
2008,AI,M,80-84,289
2008,API,M,80-84,2210
2008,B,M,80-84,8691
2008,W,M,80-84,97659
2008,AI,F,85+,350
2008,API,F,85+,2306
2008,B,F,85+,15544
2008,W,F,85+,146096
2008,AI,M,85+,195
2008,API,M,85+,1422
2008,B,M,85+,6116
2008,W,M,85+,69539
2009,AI,F,20-24,3334
2009,API,F,20-24,35247
2009,B,F,20-24,114254
2009,W,F,20-24,359594
2009,AI,M,20-24,3220
2009,API,M,20-24,37248
2009,B,M,20-24,113032
2009,W,M,20-24,368814
2009,AI,F,25-29,3128
2009,API,F,25-29,45466
2009,B,F,25-29,114685
2009,W,F,25-29,376602
2009,AI,M,25-29,3138
2009,API,M,25-29,42171
2009,B,M,25-29,106660
2009,W,M,25-29,379344
2009,AI,F,30-34,2964
2009,API,F,30-34,47395
2009,B,F,30-34,108679
2009,W,F,30-34,345068
2009,AI,M,30-34,2948
2009,API,M,30-34,42622
2009,B,M,30-34,98084
2009,W,M,30-34,350262
2009,AI,F,35-39,3357
2009,API,F,35-39,49830
2009,B,F,35-39,112335
2009,W,F,35-39,374628
2009,AI,M,35-39,3050
2009,API,M,35-39,45945
2009,B,M,35-39,101597
2009,W,M,35-39,379608
2009,AI,F,40-44,3400
2009,API,F,40-44,41144
2009,B,F,40-44,108291
2009,W,F,40-44,386202
2009,AI,M,40-44,3194
2009,API,M,40-44,39569
2009,B,M,40-44,99494
2009,W,M,40-44,389492
2009,AI,F,45-49,4195
2009,API,F,45-49,36290
2009,B,F,45-49,113319
2009,W,F,45-49,461395
2009,AI,M,45-49,3832
2009,API,M,45-49,34547
2009,B,M,45-49,103570
2009,W,M,45-49,459217
2009,AI,F,50-54,3925
2009,API,F,50-54,32550
2009,B,F,50-54,103560
2009,W,F,50-54,466290
2009,AI,M,50-54,3726
2009,API,M,50-54,28808
2009,B,M,50-54,94928
2009,W,M,50-54,461237
2009,AI,F,55-59,3174
2009,API,F,55-59,27872
2009,B,F,55-59,83599
2009,W,F,55-59,420220
2009,AI,M,55-59,3008
2009,API,M,55-59,23588
2009,B,M,55-59,72493
2009,W,M,55-59,406148
2009,AI,F,60-64,2421
2009,API,F,60-64,21034
2009,B,F,60-64,59551
2009,W,F,60-64,363946
2009,AI,M,60-64,2476
2009,API,M,60-64,17687
2009,B,M,60-64,49919
2009,W,M,60-64,349159
2009,AI,F,65-69,1574
2009,API,F,65-69,13569
2009,B,F,65-69,41731
2009,W,F,65-69,281666
2009,AI,M,65-69,1701
2009,API,M,65-69,12306
2009,B,M,65-69,32692
2009,W,M,65-69,262418
2009,AI,F,70-74,1024
2009,API,F,70-74,9331
2009,B,F,70-74,30733
2009,W,F,70-74,216656
2009,AI,M,70-74,974
2009,API,M,70-74,8088
2009,B,M,70-74,22141
2009,W,M,70-74,190582
2009,AI,F,75-79,717
2009,API,F,75-79,6206
2009,B,F,75-79,23991
2009,W,F,75-79,180213
2009,AI,M,75-79,570
2009,API,M,75-79,4676
2009,B,M,75-79,15254
2009,W,M,75-79,144736
2009,AI,F,80-84,407
2009,API,F,80-84,3702
2009,B,F,80-84,16957
2009,W,F,80-84,145541
2009,AI,M,80-84,328
2009,API,M,80-84,2450
2009,B,M,80-84,8975
2009,W,M,80-84,98937
2009,AI,F,85+,361
2009,API,F,85+,2541
2009,B,F,85+,16285
2009,W,F,85+,149421
2009,AI,M,85+,201
2009,API,M,85+,1534
2009,B,M,85+,6354
2009,W,M,85+,72609
2010,AI,F,20-24,3346
2010,API,F,20-24,36742
2010,B,F,20-24,117225
2010,W,F,20-24,360224
2010,AI,M,20-24,3295
2010,API,M,20-24,39050
2010,B,M,20-24,115438
2010,W,M,20-24,369477
2010,AI,F,25-29,3217
2010,API,F,25-29,46338
2010,B,F,25-29,114922
2010,W,F,25-29,378503
2010,AI,M,25-29,3172
2010,API,M,25-29,43305
2010,B,M,25-29,108587
2010,W,M,25-29,384731
2010,AI,F,30-34,3016
2010,API,F,30-34,48475
2010,B,F,30-34,112971
2010,W,F,30-34,354184
2010,AI,M,30-34,2960
2010,API,M,30-34,43173
2010,B,M,30-34,102706
2010,W,M,30-34,359800
2010,AI,F,35-39,3294
2010,API,F,35-39,51665
2010,B,F,35-39,112142
2010,W,F,35-39,363885
2010,AI,M,35-39,3058
2010,API,M,35-39,47360
2010,B,M,35-39,101468
2010,W,M,35-39,368219
2010,AI,F,40-44,3387
2010,API,F,40-44,44080
2010,B,F,40-44,108645
2010,W,F,40-44,385021
2010,AI,M,40-44,3187
2010,API,M,40-44,41939
2010,B,M,40-44,100153
2010,W,M,40-44,390305
2010,AI,F,45-49,4127
2010,API,F,45-49,37666
2010,B,F,45-49,114289
2010,W,F,45-49,449614
2010,AI,M,45-49,3765
2010,API,M,45-49,36282
2010,B,M,45-49,104120
2010,W,M,45-49,446590
2010,AI,F,50-54,3968
2010,API,F,50-54,33964
2010,B,F,50-54,106859
2010,W,F,50-54,470198
2010,AI,M,50-54,3797
2010,API,M,50-54,30260
2010,B,M,50-54,98135
2010,W,M,50-54,465583
2010,AI,F,55-59,3243
2010,API,F,55-59,29179
2010,B,F,55-59,87416
2010,W,F,55-59,431437
2010,AI,M,55-59,3138
2010,API,M,55-59,24760
2010,B,M,55-59,76246
2010,W,M,55-59,417485
2010,AI,F,60-64,2604
2010,API,F,60-64,23349
2010,B,F,60-64,64887
2010,W,F,60-64,379885
2010,AI,M,60-64,2617
2010,API,M,60-64,19468
2010,B,M,60-64,54699
2010,W,M,60-64,364241
2010,AI,F,65-69,1646
2010,API,F,65-69,14992
2010,B,F,65-69,43816
2010,W,F,65-69,291506
2010,AI,M,65-69,1711
2010,API,M,65-69,13236
2010,B,M,65-69,34265
2010,W,M,65-69,271689
2010,AI,F,70-74,1072
2010,API,F,70-74,10128
2010,B,F,70-74,31559
2010,W,F,70-74,219901
2010,AI,M,70-74,1028
2010,API,M,70-74,8850
2010,B,M,70-74,22873
2010,W,M,70-74,194435
2010,AI,F,75-79,730
2010,API,F,75-79,6526
2010,B,F,75-79,24360
2010,W,F,75-79,180756
2010,AI,M,75-79,584
2010,API,M,75-79,5149
2010,B,M,75-79,15630
2010,W,M,75-79,146443
2010,AI,F,80-84,422
2010,API,F,80-84,4041
2010,B,F,80-84,17419
2010,W,F,80-84,145651
2010,AI,M,80-84,356
2010,API,M,80-84,2742
2010,B,M,80-84,9225
2010,W,M,80-84,101099
2010,AI,F,85+,364
2010,API,F,85+,2795
2010,B,F,85+,16953
2010,W,F,85+,153074
2010,AI,M,85+,203
2010,API,M,85+,1659
2010,B,M,85+,6705
2010,W,M,85+,75652
2011,AI,F,20-24,3486
2011,API,F,20-24,38158
2011,B,F,20-24,121972
2011,W,F,20-24,363822
2011,AI,M,20-24,3504
2011,API,M,20-24,40750
2011,B,M,20-24,121252
