GEOID,pov_population,pov_population_se,pov_rate,pov_rate_se,pov_asian_rate1,pov_black_rate1,pov_latino_rate1,pov_white_rate1,pov_asian_rate2,pov_asian_rate2_se,pov_black_rate2,pov_black_rate2_se,pov_latino_rate2,pov_latino_rate2_se,pov_white_rate2,pov_white_rate2_se,median_income,median_income_se,per_capita_income,per_capita_income_se,nativity,nativity_se,pop,pop_se,api,api_se,asian,asian_se,black,black_se,latino,latino_se,white,white_se
48013960100,7010,491.1854103343465,0.11897289586305278,0.02665023087600027,NA,0.4909090909090909,0.20763928776565194,0.024786072587784008,0,0.0015609485363939487,0.0038516405135520684,0.0038060956330717116,0.10313837375178317,0.026163411998297897,0.011982881597717546,0.00583683522783723,54395.223944875106,3712.0787289020836,24677.3428079242,1494.951160958088,0.04508833922261484,0.017252888289143283,7075,498.4802431610942,0,0.002187233537561361,0,0.0015466076664482798,0.0077738515901060075,0.00486686768115454,0.5013427561837456,0.014637376021182414,0.4790106007067138,0.0464253547648766
48013960201,7084,438.2978723404255,0.14469226425748166,0.04991938630085612,0,0.23333333333333334,0.19649890590809627,0.04638297872340426,0,0.0015446427498759993,9.881422924901185e-4,9.419663704444131e-4,0.12676453980801808,0.04871542842432985,0.01538678712591756,0.007058609657838093,53549.909560723514,6660.582403284036,22274.35831180017,1819.5691273375587,0.07216638749302066,0.01709606005507254,7164,437.0820668693009,0.0011166945840312675,0.0021589863174282875,0.0011166945840312675,0.0015258735446596796,0.0041876046901172526,0.003469669890794185,0.6451702959240647,0.04019546839383877,0.33193746510329425,0.030351601856224247
48013960300,3716,152.5835866261398,0.2395048439181916,0.05673791033616262,NA,NA,0.24144927536231883,0.19923371647509577,0,0.00212667803076158,0,0.00212667803076158,0.22416576964477933,0.05286234865650424,0.013993541442411194,0.013893325756479809,40584.81912144703,4910.668143226282,15296.73126614987,1249.844882699905,0.038267339888386924,0.016950048972322593,3763,150.7598784194529,0,0.002970012174346801,0,0.0021001157486872256,0,0.0021001157486872256,0.9186819027371778,0.0014090147087608695,0.07998937018336434,0.02320411773981298
48013960402,7631,374.468085106383,0.16603328528371117,0.038011800354387094,0,0,0.25197050597508264,0.06960950764006792,0,0.001433920749590038,0,0.001433920749590038,0.12986502424321844,0.03705661295971892,0.03223692831870004,0.01857372481233541,76086.94229112833,5322.026133010794,31832.248062015504,4367.228754165913,0.03847623901133902,0.0127697385440391,7849,375.6838905775076,0.0012740476493820869,0.0024484154371846967,0.0012740476493820869,0.002012768775059206,0.011976047904191617,0.009664228166858071,0.5175181551790037,0.04453696043274988,0.4615874633711301,0.03431949564941773
48013960401,2136,188.4498480243161,0.2982209737827715,0.06364918700803744,0,NA,0.34146341463414637,0.15843621399176955,0,0.003699782566624546,0,0.003699782566624546,0.26217228464419473,0.06184285842926039,0.03604868913857678,0.02455497253897702,40085.413436692506,5606.559694634904,20586.97243755383,5031.578478881794,0.16573033707865167,0.035644197826798604,2136,188.4498480243161,0.007958801498127341,0.00824311304154481,0.007958801498127341,0.007366174147777612,0,0.003699782566624546,0.7677902621722846,0.055633664906787623,0.22752808988764045,0.03540251294477368
48013960202,9694,511.2462006079027,0.1481328656901176,0.030495226342828634,0,0.10526315789473684,0.14723186000905114,0.15500183217295713,0,0.0011287651372108088,0.0012378791004745203,0.0013780563301783357,0.10068083350526098,0.025476874848248635,0.043635238291726844,0.01664775788078397,55615.633074935395,3269.17891242483,19489.793281653747,1561.9775426801652,0.08159686403961214,0.020312521219439553,9694,511.2462006079027,0.004023107076542191,0.0045274774764147005,0.004023107076542191,0.004384511553692142,0.011759851454507943,0.005483445681942962,0.6838250464204663,0.040182079516371975,0.28151433876624715,0.02790126673098902
48083950300,4524,51.671732522796354,0.21021220159151194,0.04844914003023316,NA,0.04504504504504504,0.1572052401746725,0.23108147289069295,0,0.0017468469412710058,0.0011052166224580018,0.0010749086124501115,0.03183023872679045,0.013835626990501108,0.17617152961980548,0.041472422927448814,35325.92592592593,3547.1412601546194,19122.265288544357,1658.5743869266878,6.558810668998689e-4,9.303275543636928e-4,4574,32.21884498480243,0,0.0024434096659525606,0,0.0017277515440118124,0.024267599475295148,0.007573597171545617,0.20288587669435942,0.02134976094705705,0.7623524267599475,0.022493171315656597
48083950700,2675,113.67781155015197,0.2714018691588785,0.043492884778002505,NA,0.6818181818181818,0.49162011173184356,0.22005444646098005,0,0.0029542936681532825,0.022429906542056073,0.012234606384383524,0.06579439252336448,0.026898219283720007,0.18130841121495328,0.03343905817059544,36714.96554694229,1790.6557862025452,23486.119724375538,3173.2391895677397,0.015287099179716629,0.007705547270227207,2682,113.67781155015197,0,0.004167097618220363,0,0.002946582983709929,0.03281133482475764,0.01330044263349879,0.13348247576435496,0.03145431334951778,0.8243847874720358,0.02669467524974349
48083950600,1382,110.63829787234043,0.08393632416787265,0.02506740695851834,0,NA,0.07017543859649122,0.08446866485013624,0,0.005718332534233018,0,0.005718332534233018,0.008683068017366137,0.005675923800436712,0.06729377713458755,0.021776980872510215,57426.24892334195,4582.764569899651,35101.085271317825,3284.292704381769,0.06,0.04160965879263246,1400,110.03039513677811,0.056428571428571425,0.04183078651955873,0.056428571428571425,0.04144817014429352,0,0.005644811115935736,0.12857142857142856,0.06126518883318084,0.7928571428571428,0.047179347757801804
48353950500,2630,113.67781155015197,0.16653992395437262,0.030362483153755056,0.2222222222222222,NA,0.34648581997533906,0.08727895037079293,0.001520912547528517,0.0013852913944958148,0,0.003004842419129289,0.10684410646387833,0.028989453480945924,0.05817490494296578,0.010330907057034357,52372.73901808785,3911.186509900018,27891.05081826012,1990.4206885899118,0.07814269535673839,0.026309945764537015,2649,114.28571428571428,0.007550018875047188,0.004402175685152779,0.006795016987542469,0.004350326910807609,0,0.0029832901329973687,0.30615326538316345,0.0415531920872777,0.6689316723291808,0.029231627219853222
