GEOID,pov_population,pov_population_se,pov_rate,pov_rate_se,pov_asian_rate1,pov_black_rate1,pov_latino_rate1,pov_white_rate1,pov_asian_rate2,pov_asian_rate2_se,pov_black_rate2,pov_black_rate2_se,pov_latino_rate2,pov_latino_rate2_se,pov_white_rate2,pov_white_rate2_se,median_income,median_income_se,per_capita_income,per_capita_income_se
48001950100,5147,423.7082066869301,0.09928113464153876,0.01872694477558026,0,0.06836248012718601,0.15942028985507245,0.09925788497217068,0,0.01499973720932842,0.00835438119292792,0.0038364118498860297,0.004274334563823586,0.004355813027492935,0.08315523605984068,0.019251896125860153,46027,3171.4285714285716,22069,2189.057750759878
48001950401,204,94.22492401215806,0,0.378449252041242,NA,NA,0,0,0,0.378449252041242,0,0.378449252041242,0,0.378449252041242,0,0.378449252041242,61442,56877.20364741641,2574,323.40425531914894
48001950402,215,99.08814589665653,0,0.35908673216936454,NA,0,NA,0,0,0.35908673216936454,0,0.35908673216936454,0,0.35908673216936454,0,0.35908673216936454,61538,15086.93009118541,2107,1107.598784194529
48001950500,4368,398.7841945288754,0.22573260073260074,0.04809956666757427,0,0.28653530377668307,0.2787794729542302,0.14821428571428572,0,0.017674827705222843,0.07989926739926739,0.028588484208819355,0.09203296703296704,0.036910475563933516,0.057005494505494504,0.01964127293825933,32529,3658.966565349544,20032,2717.325227963526
48001950600,5778,382.97872340425533,0.17428175839390792,0.03761463298062592,0.017045454545454544,0.13062665489849956,0.3521311475409836,0.1015406162464986,5.192107995846313e-4,8.409752469989493e-4,0.02561439944617515,0.01272282736719872,0.09293873312564901,0.0343821880518481,0.05019037729318103,0.013158043287097734,40409,5047.41641337386,15609,1181.7629179331307
48001950700,2898,242.5531914893617,0.3743961352657005,0.07054774757124385,0,0.371900826446281,0.26165413533834586,0.4600798403193613,0,0.026640320019466313,0.15527950310559005,0.04972230795127285,0.060041407867494824,0.026589138308540722,0.15907522429261559,0.05461801689067494,30245,6042.553191489362,14630,1971.4285714285713
48001950800,4395,307.5987841945289,0.17042093287827076,0.052608420085771344,0.47058823529411764,0.49544419134396356,0.03939393939393939,0.08881051619108689,0.0018202502844141069,0.002209400401124624,0.09897610921501707,0.048471694002614474,0.0029579067121729237,0.004005844110491008,0.06302616609783845,0.02239194064149155,38742,1929.483282674772,22766,2144.68085106383
48001950901,5268,441.9452887537994,0.09415337889141989,0.03085410833271257,NA,0.22169811320754718,0.31556195965417866,0.051960321209258385,0,0.014655210215720079,0.008921791951404707,0.0066509482192744175,0.041571753986332574,0.02316418867655942,0.04176157934700076,0.014586552627367624,46760,2527.659574468085,23701,2012.7659574468084
48001950902,5185,348.32826747720367,0.13674059787849566,0.03176060099986012,NA,0.4263565891472868,0.3697478991596639,0.060125786163522016,0,0.014889806637688211,0.04243008678881389,0.023747020680790085,0.04243008678881389,0.020318481147645687,0.04609450337512054,0.01695418329728655,45250,5020.668693009118,28395,3962.310030395137
48001951000,6727,385.41033434650456,0.1871562360636242,0.04240315344421401,0,0.5643153526970954,0.018575851393188854,0.16535027472527472,0,0.01147668313013429,0.04043407165155344,0.018835265946672154,8.919280511372082e-4,8.117012839905529e-4,0.14315445220752193,0.03548255716511487,35478,3149.5440729483284,21033,1226.1398176291793
48001951100,5305,407.2948328267477,0.13100848256361922,0.030226589011307436,0,0.1334355828220859,0.27488151658767773,0.12378976486860305,0,0.014552996685469064,0.01639962299717248,0.006292334044010684,0.010933081998114986,0.010278931035482778,0.10122525918944392,0.027692365159232346,40293,1823.70820668693,22315,1936.7781155015198
48003950100,1577,133.7386018237082,0.16930881420418517,0.05839563933413358,0,0,0.3862433862433862,0.04843592330978809,0,0.048956022458093454,0,0.048956022458093454,0.1388712745719721,0.05700368264769387,0.030437539632213063,0.01910039351425595,66050,15037.082066869301,47564,11070.516717325228
48003950200,6289,263.2218844984802,0.10907934488789951,0.03537461810394446,0.1574074074074074,0,0.17512213453588876,0.0585014409221902,0.002703132453490221,0.001639342196529712,0,0.01227598146230138,0.07409763078390841,0.031941336389089824,0.032278581650500876,0.015600738094133315,50694,4325.835866261398,32960,7826.13981762918
48003950300,3754,246.20060790273556,0.31006925945657965,0.06456182071939569,NA,1,0.37090069284064664,0.2136518771331058,0,0.02056570256164448,0.012786361214704315,0.009029485364956754,0.21390516782099095,0.05825034765189721,0.0833777304208844,0.03225050876749322,36250,7516.109422492401,16538,1302.7355623100304
48003950400,2321,136.17021276595744,0.11676001723395088,0.03788708820807667,NA,1,0.06972639011473963,0.06666666666666667,0,0.033263096689536135,0.006462731581214994,0.007323787911299442,0.034037052994398964,0.023224667569637706,0.028005170185264973,0.013783871179939122,59766,11221.884498480244,28615,4147.720364741641
48005000101,5650,419.4528875379939,0.2615929203539823,0.05930535081078402,NA,0.7034068136272545,0.4962686567164179,0.1712538226299694,0,0.013664362374586438,0.062123893805309735,0.027155038524483987,0.07061946902654867,0.04932270338010998,0.1288495575221239,0.04151930202195034,30947,6113.677811550152,18423,1867.4772036474164
48005000102,5153,384.19452887537994,0.08228216572870173,0.03665087241225248,0.1865079365079365,0,0,0.09345562716906297,0.009120900446341937,0.006571263136708067,0,0.014982271961267878,0,0.014982271961267878,0.07316126528235979,0.03592318595283055,58906,7275.379939209726,20181,1437.689969604863
48005000200,6732,387.2340425531915,0.1887997623291741,0.04335938592808327,NA,0,0.23850931677018633,0.18870346598202825,0,0.01146815915276491,0,0.01146815915276491,0.0570409982174688,0.0280729551720828,0.13101604278074866,0.04176676147201005,36010,2611.550151975684,20982,3334.954407294833
