GEOID,Age,Race,estimate,moe
48001950100,55-64,API,0,18
48001950100,55-64,BLACK,49,41.72529209005013
48001950100,55-64,LATINO,0,18
48001950100,55-64,WHITE,663,139.08630414242805
48001950100,65-74,API,0,18
48001950100,65-74,BLACK,48,34.66987164671943
48001950100,65-74,LATINO,0,18
48001950100,65-74,WHITE,555,104.01922899156675
48001950100,75-84,API,0,18
48001950100,75-84,BLACK,23,22
48001950100,75-84,LATINO,0,18
48001950100,75-84,WHITE,181,65
48001950401,55-64,API,0,18
48001950401,55-64,BLACK,145,55.97320787662612
48001950401,55-64,LATINO,98,58.82176467941097
48001950401,55-64,WHITE,145,68.41052550594829
48001950401,65-74,API,0,18
48001950401,65-74,BLACK,7,22.20360331117452
48001950401,65-74,LATINO,30,46.61544808322666
48001950401,65-74,WHITE,59,42.95346318982906
48001950401,75-84,API,0,18
48001950401,75-84,BLACK,0,18
48001950401,75-84,LATINO,0,18
48001950401,75-84,WHITE,0,18
48001950402,55-64,API,0,13
48001950402,55-64,BLACK,135,95.88534820294495
48001950402,55-64,LATINO,63,39.21734310225516
48001950402,55-64,WHITE,61,42.5440947723653
48001950402,65-74,API,0,13
48001950402,65-74,BLACK,25,30.870698080866262
48001950402,65-74,LATINO,7,18.384776310850235
48001950402,65-74,WHITE,39,34.539832078341085
48001950402,75-84,API,0,13
48001950402,75-84,BLACK,0,13
48001950402,75-84,LATINO,0,13
48001950402,75-84,WHITE,0,13
48001950500,55-64,API,5,24.63736998950984
48001950500,55-64,BLACK,81,50.695167422546305
48001950500,55-64,LATINO,74,44.68780594300866
48001950500,55-64,WHITE,193,66.03029607687671
48001950500,65-74,API,0,13
48001950500,65-74,BLACK,30,28.30194339616981
48001950500,65-74,LATINO,45,53.36665625650534
48001950500,65-74,WHITE,394,110.8873302050329
48001950500,75-84,API,0,13
48001950500,75-84,BLACK,9,16
48001950500,75-84,LATINO,10,17
48001950500,75-84,WHITE,77,44
48001950600,55-64,API,0,18
48001950600,55-64,BLACK,50,72.73238618387272
48001950600,55-64,LATINO,24,42.04759208325728
48001950600,55-64,WHITE,437,155.6181223379848
48001950600,65-74,API,8,37.04051835490427
48001950600,65-74,BLACK,41,38.91015291668744
48001950600,65-74,LATINO,15,17.804493814764857
48001950600,65-74,WHITE,302,86.68333173107735
48001950600,75-84,API,0,18
48001950600,75-84,BLACK,54,44
48001950600,75-84,LATINO,0,18
48001950600,75-84,WHITE,126,65
48001950700,55-64,API,0,13
48001950700,55-64,BLACK,243,102.45974819410792
48001950700,55-64,LATINO,0,13
48001950700,55-64,WHITE,142,73.49829930005184
48001950700,65-74,API,0,13
48001950700,65-74,BLACK,67,45
48001950700,65-74,LATINO,4,9.899494936611665
48001950700,65-74,WHITE,69,30.4138126514911
48001950700,75-84,API,0,13
48001950700,75-84,BLACK,37,25
48001950700,75-84,LATINO,0,13
48001950700,75-84,WHITE,3,5
48001950800,55-64,API,0,13
48001950800,55-64,BLACK,38,63.34824385884742
48001950800,55-64,LATINO,0,13
48001950800,55-64,WHITE,493,131.20975573485381
48001950800,65-74,API,0,13
48001950800,65-74,BLACK,40,43.965895873961216
48001950800,65-74,LATINO,50,47.70744176750625
48001950800,65-74,WHITE,253,84.40379138403677
48001950800,75-84,API,53,48.76474136094644
48001950800,75-84,BLACK,0,13
48001950800,75-84,LATINO,0,13
48001950800,75-84,WHITE,133,66
48001950901,55-64,API,0,18
48001950901,55-64,BLACK,103,71.30918594402827
48001950901,55-64,LATINO,15,26.1725046566048
48001950901,55-64,WHITE,720,230.8679276123039
48001950901,65-74,API,0,18
48001950901,65-74,BLACK,105,90.80198235721508
48001950901,65-74,LATINO,37,48.46648326421054
48001950901,65-74,WHITE,281,87.04596486914255
48001950901,75-84,API,0,18
48001950901,75-84,BLACK,1,2
48001950901,75-84,LATINO,0,18
48001950901,75-84,WHITE,64,53
48001950902,55-64,API,0,18
48001950902,55-64,BLACK,47,42.04759208325728
48001950902,55-64,LATINO,18,26.90724809414742
48001950902,55-64,WHITE,687,163.35544068074378
48001950902,65-74,API,8,34.17601498127012
48001950902,65-74,BLACK,16,16.15549442140351
48001950902,65-74,LATINO,126,80.11242100947892
48001950902,65-74,WHITE,518,130.08458786497346
48001950902,75-84,API,0,18
48001950902,75-84,BLACK,0,18
48001950902,75-84,LATINO,0,18
48001950902,75-84,WHITE,135,61
48001951000,55-64,API,0,18
48001951000,55-64,BLACK,74,45.69463863518345
48001951000,55-64,LATINO,18,21.540659228538015
48001951000,55-64,WHITE,897,166.33099530754933
48001951000,65-74,API,0,18
48001951000,65-74,BLACK,29,25
48001951000,65-74,LATINO,33,38.47076812334269
48001951000,65-74,WHITE,552,122.80065146407001
48001951000,75-84,API,0,18
48001951000,75-84,BLACK,21,21
48001951000,75-84,LATINO,0,18
48001951000,75-84,WHITE,112,46
48001951100,55-64,API,0,18
48001951100,55-64,BLACK,124,61.61980201201558
48001951100,55-64,LATINO,34,39.56008088970496
48001951100,55-64,WHITE,646,195.5326059765992
48001951100,65-74,API,0,18
48001951100,65-74,BLACK,72,47.53945729601885
48001951100,65-74,LATINO,0,18
48001951100,65-74,WHITE,474,113.14592347937243
48001951100,75-84,API,0,18
48001951100,75-84,BLACK,0,18
48001951100,75-84,LATINO,0,18
48001951100,75-84,WHITE,160,105
48003950100,55-64,API,0,13
48003950100,55-64,BLACK,7,18.384776310850235
48003950100,55-64,LATINO,0,13
48003950100,55-64,WHITE,140,51.73973328110612
48003950100,65-74,API,0,13
48003950100,65-74,BLACK,0,13
48003950100,65-74,LATINO,0,13
48003950100,65-74,WHITE,74,40.36087214122113
48003950100,75-84,API,0,13
48003950100,75-84,BLACK,0,13
48003950100,75-84,LATINO,0,13
48003950100,75-84,WHITE,65,50
48003950200,55-64,API,0,18
48003950200,55-64,BLACK,55,54.589376255824725
48003950200,55-64,LATINO,223,76.05918747922567
48003950200,55-64,WHITE,498,87.11486669908874
48003950200,65-74,API,26,41.24318125460256
48003950200,65-74,BLACK,6,22.20360331117452
48003950200,65-74,LATINO,69,54.08326913195984
48003950200,65-74,WHITE,332,64.03124237432849
48003950200,75-84,API,0,18
48003950200,75-84,BLACK,0,18
48003950200,75-84,LATINO,22,31
48003950200,75-84,WHITE,172,62
48003950300,55-64,API,0,13
48003950300,55-64,BLACK,7,17.029386365926403
