GEOID,Age,Race,estimate,moe
48003950100,65-74,WHITE,105,44.654227123532216
48003950100,75-84,API,0,127
48003950100,75-84,BLACK,0,127
48003950100,75-84,LATINO,0,127
48003950100,75-84,WHITE,37,46
48003950200,55-64,API,0,127
48003950200,55-64,BLACK,45,43.174066289845804
48003950200,55-64,LATINO,191,90.9065454189081
48003950200,55-64,WHITE,460,109.34349546269316
48003950200,65-74,API,18,220.62638101550775
48003950200,65-74,BLACK,0,127
48003950200,65-74,LATINO,19,130.728726758888
48003950200,65-74,WHITE,316,63.60031446463138
48003950200,75-84,API,0,127
48003950200,75-84,BLACK,6,9
48003950200,75-84,LATINO,60,57
48003950200,75-84,WHITE,177,71
48003950300,55-64,API,0,127
48003950300,55-64,BLACK,4,127.09838708654017
48003950300,55-64,LATINO,177,73.24616030891995
48003950300,55-64,WHITE,131,65
48003950300,65-74,API,0,127
48003950300,65-74,BLACK,4,127.09838708654017
48003950300,65-74,LATINO,61,56.72741841473134
48003950300,65-74,WHITE,129,53.75872022286245
48003950300,75-84,API,0,127
48003950300,75-84,BLACK,0,127
48003950300,75-84,LATINO,57,63
48003950300,75-84,WHITE,17,23
48003950400,55-64,API,0,127
48003950400,55-64,BLACK,0,127
48003950400,55-64,LATINO,73,60.207972893961475
48003950400,55-64,WHITE,170,86.09297300012354
48003950400,65-74,API,0,127
48003950400,65-74,BLACK,0,127
48003950400,65-74,LATINO,0,127
48003950400,65-74,WHITE,101,44.553338819890925
48003950400,75-84,API,0,127
48003950400,75-84,BLACK,0,127
48003950400,75-84,LATINO,0,127
48003950400,75-84,WHITE,51,41
48005000101,55-64,API,0,127
48005000101,55-64,BLACK,14,129.0658746532173
48005000101,55-64,LATINO,25,132.85330255586422
48005000101,55-64,WHITE,704,127.34991166074674
48005000101,65-74,API,0,127
48005000101,65-74,BLACK,15,128.89142717807107
48005000101,65-74,LATINO,0,127
48005000101,65-74,WHITE,282,109.34349546269316
48005000101,75-84,API,0,127
48005000101,75-84,BLACK,0,127
48005000101,75-84,LATINO,0,127
48005000101,75-84,WHITE,136,81
48005000102,55-64,API,0,127
48005000102,55-64,BLACK,0,127
48005000102,55-64,LATINO,56,65.79513659838392
48005000102,55-64,WHITE,471,133.73481222179961
48005000102,65-74,API,0,127
48005000102,65-74,BLACK,0,127
48005000102,65-74,LATINO,79,73.00684899377592
48005000102,65-74,WHITE,320,124.4025723206719
48005000102,75-84,API,0,127
48005000102,75-84,BLACK,0,127
48005000102,75-84,LATINO,0,127
48005000102,75-84,WHITE,46,48
48005000200,55-64,API,0,127
48005000200,55-64,BLACK,66,65.19202405202648
48005000200,55-64,LATINO,101,83.43860018001261
48005000200,55-64,WHITE,626,194.82556300444764
48005000200,65-74,API,0,127
48005000200,65-74,BLACK,36,40.607881008493905
48005000200,65-74,LATINO,4,13.892443989449804
48005000200,65-74,WHITE,539,161.48374531202822
48005000200,75-84,API,0,127
48005000200,75-84,BLACK,0,127
48005000200,75-84,LATINO,0,127
48005000200,75-84,WHITE,43,34
48005000301,55-64,API,0,127
48005000301,55-64,BLACK,35,44.553338819890925
48005000301,55-64,LATINO,51,150.0966355385756
48005000301,55-64,WHITE,565,130.96946208945045
48005000301,65-74,API,0,127
48005000301,65-74,BLACK,0,127
48005000301,65-74,LATINO,0,127
48005000301,65-74,WHITE,395,98.08159868191383
48005000301,75-84,API,0,127
48005000301,75-84,BLACK,0,127
48005000301,75-84,LATINO,0,127
48005000301,75-84,WHITE,88,56
48005000302,55-64,API,0,127
48005000302,55-64,BLACK,0,127
48005000302,55-64,LATINO,36,42.42640687119285
48005000302,55-64,WHITE,538,166.50825805346713
48005000302,65-74,API,0,127
48005000302,65-74,BLACK,0,127
48005000302,65-74,LATINO,0,127
48005000302,65-74,WHITE,176,65
48005000302,75-84,API,0,127
48005000302,75-84,BLACK,0,127
48005000302,75-84,LATINO,0,127
48005000302,75-84,WHITE,127,65
48005000400,55-64,API,0,127
48005000400,55-64,BLACK,184,94.11163583744573
48005000400,55-64,LATINO,0,127
48005000400,55-64,WHITE,444,130.13838787997952
48005000400,65-74,API,0,127
48005000400,65-74,BLACK,48,42.638011210655684
48005000400,65-74,LATINO,64,42.20189569201838
48005000400,65-74,WHITE,291,105.68348972285122
48005000400,75-84,API,0,127
48005000400,75-84,BLACK,7,11
48005000400,75-84,LATINO,6,10
48005000400,75-84,WHITE,170,86
48005000500,55-64,API,0,127
48005000500,55-64,BLACK,519,118.92854997854805
48005000500,55-64,LATINO,20,131.21737689803132
48005000500,55-64,WHITE,59,51.86520991955976
48005000500,65-74,API,0,127
48005000500,65-74,BLACK,303,114.62111498323509
48005000500,65-74,LATINO,0,127
48005000500,65-74,WHITE,63,53.85164807134504
48005000500,75-84,API,10,128.1327436684316
48005000500,75-84,BLACK,117,62
48005000500,75-84,LATINO,0,127
48005000500,75-84,WHITE,61,50
48005000600,55-64,API,0,127
48005000600,55-64,BLACK,149,73.87827826905551
48005000600,55-64,LATINO,81,67.26812023536856
48005000600,55-64,WHITE,238,80.91971329657564
48005000600,65-74,API,0,127
48005000600,65-74,BLACK,88,70.83078426785913
48005000600,65-74,LATINO,25,130.49521064008442
48005000600,65-74,WHITE,114,57.3149195236284
48005000600,75-84,API,0,127
48005000600,75-84,BLACK,51,55
48005000600,75-84,LATINO,26,25
48005000600,75-84,WHITE,108,48
48005000700,55-64,API,0,127
48005000700,55-64,BLACK,38,32.526911934581186
48005000700,55-64,LATINO,12,128.7245120402482
48005000700,55-64,WHITE,185,72.83543093852057
48005000700,65-74,API,0,127
48005000700,65-74,BLACK,0,127
48005000700,65-74,LATINO,66,57.8013840664737
48005000700,65-74,WHITE,84,47.50789408087881
48005000700,75-84,API,0,127
48005000700,75-84,BLACK,50,44
48005000700,75-84,LATINO,3,10
48005000700,75-84,WHITE,15,23
48005000800,55-64,API,0,127
48005000800,55-64,BLACK,34,41.88078318274385
48005000800,55-64,LATINO,35,37.44329045369811
48005000800,55-64,WHITE,275,96.04686356149273
48005000800,65-74,API,0,127
48005000800,65-74,BLACK,0,127
48005000800,65-74,LATINO,0,127
48005000800,65-74,WHITE,552,122.64175471673585
48005000800,75-84,API,0,127
48005000800,75-84,BLACK,0,127
48005000800,75-84,LATINO,0,127
48005000800,75-84,WHITE,148,75
48005000901,55-64,API,11,220.7056863789422
48005000901,55-64,BLACK,112,84.38601779915912
48005000901,55-64,LATINO,0,127
48005000901,55-64,WHITE,556,154.93547043850222
48005000901,65-74,API,10,220.7056863789422
48005000901,65-74,BLACK,12,128.2692480682724
48005000901,65-74,LATINO,112,44.10215414239989
48005000901,65-74,WHITE,441,92.84934033152847
48005000901,75-84,API,13,128.56515857727553
48005000901,75-84,BLACK,0,127
48005000901,75-84,LATINO,0,127
48005000901,75-84,WHITE,240,98
48005000902,55-64,API,18,221.74534944390604
48005000902,55-64,BLACK,0,127
48005000902,55-64,LATINO,0,127
48005000902,55-64,WHITE,200,82.13403679352427
48005000902,65-74,API,12,220.62638101550775
48005000902,65-74,BLACK,61,154.50889942006577
48005000902,65-74,LATINO,0,127
48005000902,65-74,WHITE,286,72.24956747275377
48005000902,75-84,API,18,130.728726758888
48005000902,75-84,BLACK,0,127
48005000902,75-84,LATINO,0,127
48005000902,75-84,WHITE,29,31
48005001001,55-64,API,0,127
48005001001,55-64,BLACK,55,48.507731342539614
48005001001,55-64,LATINO,297,99.35793878699377
48005001001,55-64,WHITE,318,93.60021367496978
48005001001,65-74,API,0,127
48005001001,65-74,BLACK,0,127
48005001001,65-74,LATINO,12,128.2692480682724
48005001001,65-74,WHITE,134,67.4166151627327
48005001001,75-84,API,0,127
48005001001,75-84,BLACK,14,23
48005001001,75-84,LATINO,8,13
48005001001,75-84,WHITE,46,32
48005001002,55-64,API,0,127
48005001002,55-64,BLACK,5,128.00390619039717
48005001002,55-64,LATINO,89,66.85057965343307
48005001002,55-64,WHITE,260,105.60303025955268
48005001002,65-74,API,0,127
48005001002,65-74,BLACK,0,127
48005001002,65-74,LATINO,24,130.04999038831184
48005001002,65-74,WHITE,246,84.50443775329198
48005001002,75-84,API,0,127
48005001002,75-84,BLACK,0,127
48005001002,75-84,LATINO,0,127
48005001002,75-84,WHITE,45,41
48005001100,55-64,API,0,127
48005001100,55-64,BLACK,23,132.00378782444085
48005001100,55-64,LATINO,26,132.2800060477773
48005001100,55-64,WHITE,727,150.74813431681335
48005001100,65-74,API,0,127
48005001100,65-74,BLACK,21,132.00378782444085
48005001100,65-74,LATINO,6,127.39309243440164
48005001100,65-74,WHITE,489,108.18964830333815
48005001100,75-84,API,0,127
48005001100,75-84,BLACK,0,127
48005001100,75-84,LATINO,0,127
48005001100,75-84,WHITE,114,60
48005001200,55-64,API,0,127
48005001200,55-64,BLACK,0,127
48005001200,55-64,LATINO,8,8.48528137423857
48005001200,55-64,WHITE,391,93.40770846134703
48005001200,65-74,API,0,127
48005001200,65-74,BLACK,0,127
48005001200,65-74,LATINO,0,127
48005001200,65-74,WHITE,336,89.37561188601732
48005001200,75-84,API,0,127
48005001200,75-84,BLACK,0,127
48005001200,75-84,LATINO,0,127
48005001200,75-84,WHITE,91,46
48005001300,55-64,API,0,127
48005001300,55-64,BLACK,27,21.95449840010015
48005001300,55-64,LATINO,0,127
48005001300,55-64,WHITE,605,142.42541907960108
48005001300,65-74,API,0,127
48005001300,65-74,BLACK,0,127
48005001300,65-74,LATINO,0,127
48005001300,65-74,WHITE,411,118.3427226321923
48005001300,75-84,API,0,127
48005001300,75-84,BLACK,0,127
48005001300,75-84,LATINO,0,127
48005001300,75-84,WHITE,203,82
48007950100,55-64,API,31,181.87633161024553
48007950100,55-64,BLACK,0,127
48007950100,55-64,LATINO,91,59.07622195096772
48007950100,55-64,WHITE,996,198.09088823063013
48007950100,65-74,API,0,127
48007950100,65-74,BLACK,0,127
48007950100,65-74,LATINO,75,63.52952069707436
48007950100,65-74,WHITE,831,156.28499608087785
48007950100,75-84,API,0,127
48007950100,75-84,BLACK,0,127
48007950100,75-84,LATINO,21,27
48007950100,75-84,WHITE,223,95
48007950200,55-64,API,0,127
48007950200,55-64,BLACK,0,127
48007950200,55-64,LATINO,0,127
48007950200,55-64,WHITE,229,70.292247083159893
48007950200,65-74,API,13,221.06786288377603
48007950200,65-74,BLACK,0,127
48007950200,65-74,LATINO,0,127
48007950200,65-74,WHITE,332,92.45539465060976
48007950200,75-84,API,0,127
48007950200,75-84,BLACK,0,127
48007950200,75-84,LATINO,0,127
48007950200,75-84,WHITE,120,56
48007950300,55-64,API,15,221.16961816669124
48007950300,55-64,BLACK,0,127
48007950300,55-64,LATINO,53,45.254833995939045
48007950300,55-64,WHITE,969,167.47537132366656
48007950300,65-74,API,0,127
48007950300,65-74,BLACK,25,134.40610105199838
48007950300,65-74,LATINO,17,129.634100452003
48007950300,65-74,WHITE,931,148.51935900750448
48007950300,75-84,API,0,127
48007950300,75-84,BLACK,7,12
48007950300,75-84,LATINO,32,34
48007950300,75-84,WHITE,299,122
48007950400,55-64,API,0,127
48007950400,55-64,BLACK,0,127
48007950400,55-64,LATINO,287,93.43446901438462
48007950400,55-64,WHITE,133,65.76473218982953
48007950400,65-74,API,15,221.27584594799316
