GEOID,Age,Race,estimate,moe
48001950100,55-64,ASIAN,10,11.313708498984761
48001950100,55-64,BLACK,43,27.586228448267445
48001950100,55-64,LATINO,6,20.591260281974
48001950100,55-64,PACIFIC,0,18
48001950100,55-64,WHITE,738,117.5925167687128
48001950100,65-74,ASIAN,0,18
48001950100,65-74,BLACK,35,22.825424421026653
48001950100,65-74,LATINO,0,18
48001950100,65-74,PACIFIC,0,18
48001950100,65-74,WHITE,460,85.70297544426332
48001950100,75-84,ASIAN,0,18
48001950100,75-84,BLACK,33,35
48001950100,75-84,LATINO,0,18
48001950100,75-84,PACIFIC,0,18
48001950100,75-84,WHITE,156,67
48001950401,55-64,ASIAN,0,18
48001950401,55-64,BLACK,112,75.18643494673756
48001950401,55-64,LATINO,115,98.65596788841515
48001950401,55-64,PACIFIC,0,18
48001950401,55-64,WHITE,125,58.82176467941097
48001950401,65-74,ASIAN,0,18
48001950401,65-74,BLACK,0,18
48001950401,65-74,LATINO,25,44.77722635447622
48001950401,65-74,PACIFIC,0,18
48001950401,65-74,WHITE,62,43.41658669218482
48001950401,75-84,ASIAN,0,18
48001950401,75-84,BLACK,0,18
48001950401,75-84,LATINO,0,18
48001950401,75-84,PACIFIC,0,18
48001950401,75-84,WHITE,0,18
48001950402,55-64,ASIAN,0,13
48001950402,55-64,BLACK,277,113.7453295744489
48001950402,55-64,LATINO,97,53.600373133029585
48001950402,55-64,PACIFIC,0,13
48001950402,55-64,WHITE,178,65.19202405202648
48001950402,65-74,ASIAN,0,13
48001950402,65-74,BLACK,36,33.61547262794322
48001950402,65-74,LATINO,24,29.068883707497267
48001950402,65-74,PACIFIC,0,13
48001950402,65-74,WHITE,83,41.10960958218893
48001950402,75-84,ASIAN,0,13
48001950402,75-84,BLACK,0,13
48001950402,75-84,LATINO,0,13
48001950402,75-84,PACIFIC,0,13
48001950402,75-84,WHITE,0,13
48001950500,55-64,ASIAN,4,15.811388300841896
48001950500,55-64,BLACK,47,34.785054261852174
48001950500,55-64,LATINO,44,36.124783736376884
48001950500,55-64,PACIFIC,0,13
48001950500,55-64,WHITE,284,94.49338601193207
48001950500,65-74,ASIAN,0,13
48001950500,65-74,BLACK,24,29.068883707497267
48001950500,65-74,LATINO,20,27.202941017470888
48001950500,65-74,PACIFIC,0,13
48001950500,65-74,WHITE,340,90.52071586106685
48001950500,75-84,ASIAN,0,13
48001950500,75-84,BLACK,12,21
48001950500,75-84,LATINO,52,55
48001950500,75-84,PACIFIC,0,13
48001950500,75-84,WHITE,84,46
48001950600,55-64,ASIAN,0,18
48001950600,55-64,BLACK,205,94.76286192385707
48001950600,55-64,LATINO,0,18
48001950600,55-64,PACIFIC,0,18
48001950600,55-64,WHITE,435,160.37767924496225
48001950600,65-74,ASIAN,6,22.20360331117452
48001950600,65-74,BLACK,73,43.278170016764804
48001950600,65-74,LATINO,9,24.08318915758459
48001950600,65-74,PACIFIC,0,18
48001950600,65-74,WHITE,292,99.00505037623081
48001950600,75-84,ASIAN,0,18
48001950600,75-84,BLACK,38,46
48001950600,75-84,LATINO,0,18
48001950600,75-84,PACIFIC,0,18
48001950600,75-84,WHITE,194,97
48001950700,55-64,ASIAN,1,13.152946437965905
48001950700,55-64,BLACK,112,50.47771785649585
48001950700,55-64,LATINO,16,23.021728866442675
48001950700,55-64,PACIFIC,0,13
48001950700,55-64,WHITE,92,45.27692569068709
48001950700,65-74,ASIAN,0,13
48001950700,65-74,BLACK,43,30.4138126514911
48001950700,65-74,LATINO,7,8.602325267042627
48001950700,65-74,PACIFIC,0,13
48001950700,65-74,WHITE,84,42.44997055358225
48001950700,75-84,ASIAN,3,5
48001950700,75-84,BLACK,15,18
48001950700,75-84,LATINO,0,13
48001950700,75-84,PACIFIC,0,13
48001950700,75-84,WHITE,9,10
48001950800,55-64,ASIAN,0,13
48001950800,55-64,BLACK,23,34.539832078341085
48001950800,55-64,LATINO,0,13
48001950800,55-64,PACIFIC,0,13
48001950800,55-64,WHITE,532,146.4923206178399
48001950800,65-74,ASIAN,0,13
48001950800,65-74,BLACK,82,54.57105459856901
48001950800,65-74,LATINO,51,64.32728814430156
48001950800,65-74,PACIFIC,0,13
48001950800,65-74,WHITE,239,97.41663102366043
48001950800,75-84,ASIAN,40,43
48001950800,75-84,BLACK,0,13
48001950800,75-84,LATINO,43,64
48001950800,75-84,PACIFIC,0,13
48001950800,75-84,WHITE,97,62
48001950901,55-64,ASIAN,0,18
48001950901,55-64,BLACK,146,70.00714249274856
48001950901,55-64,LATINO,40,45.69463863518345
48001950901,55-64,PACIFIC,0,18
48001950901,55-64,WHITE,808,176.7823520603796
48001950901,65-74,ASIAN,0,18
48001950901,65-74,BLACK,92,61.68468205316454
