GEOID,Age,estimate,moe
48001950100,50-54,427,135.09256086106296
48001950100,55-59,529,174.88853593074649
48001950100,60-64,234,88.48728722251576
48001950100,65-69,308,98.01530492734285
48001950100,70-74,263,83.60023923410746
48001950100,75-79,141,56.302753041036986
48001950100,80-84,170,74.96665925596525
48001950401,50-54,462,151.11915828246265
48001950401,55-59,324,140.85808461000738
48001950401,60-64,104,145.6399670420177
48001950401,65-69,91,156.85662242952958
48001950401,70-74,31,97.98469268207153
48001950401,75-79,0,95
48001950401,80-84,0,95
48001950402,50-54,149,120.42009799032718
48001950402,55-59,77,103.87011119662864
48001950402,60-64,57,102.34744745229361
48001950402,65-69,17,135.86758259423033
48001950402,70-74,19,97.51410154434076
48001950402,75-79,0,95
48001950402,80-84,0,95
48001950500,50-54,241,127.22421153223941
48001950500,55-59,211,85.98255637046388
48001950500,60-64,178,75.77598564189053
48001950500,65-69,300,120.22063050907694
48001950500,70-74,199,83.00602387778854
48001950500,75-79,70,35.22782990761707
48001950500,80-84,65,39.408120990476064
48001950600,50-54,394,138.92443989449805
48001950600,55-59,189,107.0420478129973
48001950600,60-64,223,94.24966843443005
48001950600,65-69,183,75.70336848516055
48001950600,70-74,97,53.075418038862395
48001950600,75-79,106,50
48001950600,80-84,142,76.89603370785778
48001950700,50-54,333,148.5563866011825
48001950700,55-59,188,91.7877987534291
48001950700,60-64,148,90.5869747811461
48001950700,65-69,93,47.65501022977542
48001950700,70-74,59,52.81098370604357
48001950700,75-79,61,36.87817782917155
48001950700,80-84,65,59.464274989274024
48001950800,50-54,269,125.93649193144932
48001950800,55-59,299,108.6876257906115
48001950800,60-64,226,106.94391053257777
48001950800,65-69,223,96.85556256612213
48001950800,70-74,136,65.86349520030045
48001950800,75-79,139,85.63293758829018
48001950800,80-84,122,62.42595614005443
48001950901,50-54,527,222.6791413671249
48001950901,55-59,378,217.34764779035453
48001950901,60-64,502,218.4376341201305
48001950901,65-69,171,79.20858539325141
48001950901,70-74,222,129.29423807734048
48001950901,75-79,102,71.8679344353238
48001950901,80-84,122,85.98255637046388
48001950902,50-54,500,150.4460036026215
48001950902,55-59,388,120.22063050907694
48001950902,60-64,468,157.33721746617994
48001950902,65-69,455,144.1457595630201
48001950902,70-74,216,121.33424908079334
48001950902,75-79,149,70.45565981523414
48001950902,80-84,120,57.982756057296896
48001951000,50-54,745,210.440015206234
48001951000,55-59,545,148.12157169028418
48001951000,60-64,310,98.72689603142601
48001951000,65-69,330,129.27876855849146
48001951000,70-74,386,123.45849504995596
48001951000,75-79,182,73.49829930005184
48001951000,80-84,110,48.27007354458868
48001951100,50-54,324,106.94391053257777
48001951100,55-59,293,96.20810776644555
48001951100,60-64,366,180.95579570712843
48001951100,65-69,304,106.3296760081587
48001951100,70-74,295,125.21980673998823
48001951100,75-79,160,75.47184905645283
48001951100,80-84,149,105.51303237041384
48003950100,50-54,131,60.30754513325841
48003950100,55-59,86,51.10772935672255
48003950100,60-64,31,138.23892360692048
48003950100,65-69,93,43.3358973600409
48003950100,70-74,5,95.33624704172071
48003950100,75-79,67,54.120236510939236
48003950100,80-84,26,27.586228448267445
48003950200,50-54,348,122.3315167894194
48003950200,55-59,273,120.93386622447825
48003950200,60-64,451,155.44130725132234
48003950200,65-69,213,83.35466393669883
48003950200,70-74,137,55.072679252057455
48003950200,75-79,226,95.60334722173695
48003950200,80-84,93,70.9365914038728
48003950300,50-54,283,87.32124598286491
48003950300,55-59,148,70.7248188403477
48003950300,60-64,189,98.87871358386495
48003950300,65-69,105,68.89847603539573
48003950300,70-74,179,92.45539465060976
48003950300,75-79,200,97.59098319004681
48003950300,80-84,20,98.49365461794989
48003950400,50-54,279,90.97252332435328
48003950400,55-59,134,72.62231062146122
48003950400,60-64,113,71.60307255977219
48003950400,65-69,29,97.60635225229964
48003950400,70-74,72,38.948684188300895
48003950400,75-79,44,40.80441152620633
48003950400,80-84,0,95
48005000101,50-54,335,142.80056022299073
48005000101,55-59,384,144.31216164966833
48005000101,60-64,464,143.60710288840173
48005000101,65-69,196,79.55501241279521
48005000101,70-74,206,106.06601717798213
