GEOID,hh_pop,api,black,latino,white,pov_population,pov_rate,pov_asian_rate1,pov_black_rate1,pov_latino_rate1,pov_white_rate1,pov_asian_rate2,pov_black_rate2,pov_latino_rate2,pov_white_rate2,median_income,per_capita_income,nativity
48067950700,5057,5.932370970931383e-4,0.15720783072968164,0.0227407553885703,0.8083844176389163,5039,0.1871403056161937,0,0.43776824034334766,0.4074074074074074,0.13228423899680353,0,0.06072633459019647,0.015280809684461202,0.10676721571740425,42512.194543297745,23758.653618030843,0.024491490244914902
48069950100,1361,0.0014695077149155032,0.008082292432035268,0.31080088170462894,0.6737692872887583,1318,0.1267071320182094,NA,NA,0.19128329297820823,0.10161662817551963,0,0,0.05993930197268589,0.06676783004552352,54682.568208778175,27781.204033214708,0.09098360655737706
48069950200,4447,0,0.031257027209354624,0.5642005846638183,0.4016190690353047,4447,0.22532044074657073,NA,0,0.31086439333862015,0.12536960378474277,0,0,0.17629862828873397,0.04767258826174949,42140.011862396204,21580.64056939502,0.10604222276146566
48069950300,2412,0,0.02404643449419569,0.5480928689883914,0.4224709784411277,2441,0.16018025399426464,0,0.08433734939759036,0.22781954887218045,0.08047105004906771,0,0.0028676771814829987,0.12412945514133551,0.03359278984022941,44012.83511269277,18003.220640569394,0.20017913121361397
48071710100,5236,0.0021008403361344537,0.03361344537815126,0.053475935828877004,0.8999236058059588,5225,0.0660287081339713,NA,0.25384615384615383,0.09294871794871795,0.05902263592130315,0,0.00631578947368421,0.005550239234449761,0.053397129186602874,83431.44721233689,31486.654804270464,0.019234704317577244
48071710200,7949,0.003648257642470751,0.04377909170964901,0.10806390740973708,0.8357026041011448,7949,0.06189457793433136,0,0.056,0.20323325635103925,0.043484825607730634,0,0.0026418417410995093,0.022141149830167316,0.0362309724493647,99868.5231316726,35669.988137603796,0.026358475263584754
48071710300,3144,0,0.30820610687022904,0.04802798982188295,0.6300890585241731,3122,0.1646380525304292,0,0.27904451682953313,0.13714285714285715,0.11503067484662577,0,0.0823190262652146,0.007687379884689302,0.0720691864189622,57046.67259786477,30642.544483985766,0.032809295967190705
48071710400,5427,0.0023954302561267735,0.11590197162336466,0.09913395983047725,0.775382347521651,5397,0.14415415971836204,0,0.30715532286212915,0.3092979127134725,0.10235098551412966,0,0.03261070965351121,0.030201964054104132,0.0798591810264962,51084.306049822066,22734.4068801898,0.06553911205073996
48071710500,4041,0.02746844840386043,0.09378866617173967,0.22271714922049,0.6471170502350904,4026,0.17486338797814208,0.03389830508474576,0.3283582089552239,0.28417653390742736,0.10528391167192429,4.967709885742673e-4,0.03825136612021858,0.06557377049180328,0.06631892697466468,59025.195729537365,23788.428232502964,0.15114745449749406
48071710600,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
48073950100,4009,0.001247193813918683,0.07932152656522824,0.23821401845846846,0.6674981292092791,4007,0.17669079111554778,NA,0.2668463611859838,0.34933605720122574,0.10030395136778116,0,0.02470676316446219,0.08535063638632394,0.06588470177189917,47429.47212336892,21235.255041518387,0.17580645161290323
48073950200,4175,0.001437125748502994,0.052455089820359284,0.01748502994011976,0.9221556886227545,4161,0.13938956981494832,0,0.326271186440678,0.1,0.1291928721174004,0,0.018505167027156932,0.0016822879115597211,0.11848113434270607,53621.10320284697,25034.49584816133,0.018135376756066413
48073950300,6798,0.001323918799646955,0.11135628125919388,0.08399529273315681,0.7959694027655193,6801,0.11145419791207176,NA,0.16248348745046234,0.2690972222222222,0.08252967359050445,0,0.01808557565063961,0.022790766063814145,0.06543155418320835,51219.780545670226,22811.820877817318,0.048020352997296865
