GEOID,Age,estimate,moe
48001950100,50-54,528,153.9415473483361
48001950100,55-59,470,119.03780911962384
48001950100,60-64,247,84.00595217006948
48001950100,65-69,342,91.24691775616314
48001950100,70-74,261,79.51100552753688
48001950100,75-79,160,60.92618484691127
48001950100,80-84,171,72.24956747275377
48001950401,50-54,465,117.15374513859982
48001950401,55-59,278,75.18643494673756
48001950401,60-64,110,60.67124524847005
48001950401,65-69,78,61.587336360651285
48001950401,70-74,18,26.90724809414742
48001950401,75-79,0,18
48001950401,80-84,0,18
48001950402,50-54,348,156.54072952429985
48001950402,55-59,153,83.02409288875127
48001950402,60-64,106,52.98112871579842
48001950402,65-69,49,44.799553569204235
48001950402,70-74,22,26.419689627245813
48001950402,75-79,0,13
48001950402,80-84,0,13
48001950500,50-54,251,127.7810627597063
48001950500,55-59,226,86.09297300012354
48001950500,60-64,127,55.39855593785816
48001950500,65-69,242,99.56404973684026
48001950500,70-74,227,85.70297544426332
48001950500,75-79,62,42.37924020083418
48001950500,80-84,76,47.43416490252569
48001950600,50-54,434,140.6627171641441
48001950600,55-59,196,121.70866854912184
48001950600,60-64,315,131.988635874457
48001950600,65-69,243,97.9081201943945
48001950600,70-74,123,56.85068161420758
48001950600,75-79,112,56.60388679233962
48001950600,80-84,136,65.7419196555744
48001950700,50-54,247,100.31948963187563
48001950700,55-59,188,83.64807230295268
48001950700,60-64,197,90.47651629014017
48001950700,65-69,74,35.298725189445584
48001950700,70-74,66,37.21558813185679
48001950700,75-79,44,28.653097563788805
48001950700,80-84,61,50.15974481593781
48001950800,50-54,226,108.4665847162157
48001950800,55-59,289,105.47511554864494
48001950800,60-64,263,111.39569111954016
48001950800,65-69,220,95.84362263604189
48001950800,70-74,123,64.89992295835181
48001950800,75-79,154,86.37129152675674
48001950800,80-84,161,72.47068372797375
48001950901,50-54,444,123.1665539016173
48001950901,55-59,364,176.6635219845908
48001950901,60-64,474,194.0257714840995
48001950901,65-69,221,83.96427811873333
48001950901,70-74,220,104.12012293500234
48001950901,75-79,103,69.85699678629192
48001950901,80-84,60,50.53711507397311
48001950902,50-54,386,107.5174404457249
48001950902,55-59,324,100.12492197250393
48001950902,60-64,443,144.44722219551335
48001950902,65-69,453,120.3827230128975
48001950902,70-74,215,107.0420478129973
48001950902,75-79,154,66.40030120413611
48001950902,80-84,111,66.03786792439622
48001951000,50-54,659,176.17321022221284
48001951000,55-59,689,163.04907236779974
48001951000,60-64,300,92.42294087508793
48001951000,65-69,296,105.9197809665409
48001951000,70-74,329,119.50732195141852
48001951000,75-79,170,68.24221567329127
48001951000,80-84,107,41.773197148410844
48001951100,50-54,414,134.6291201783626
48001951100,55-59,342,113.45483682946268
48001951100,60-64,462,203.86515150952113
48001951100,65-69,330,108.26818553942798
48001951100,70-74,222,66.37017402418047
48001951100,75-79,161,74.62573282722254
48001951100,80-84,142,107.91200118615167
48003950100,50-54,157,60.8276253029822
48003950100,55-59,101,45.45327270945405
48003950100,60-64,46,35.04283093587046
48003950100,65-69,63,40.47221268969612
48003950100,70-74,11,12.727922061357855
48003950100,75-79,66,50.44799302251776
48003950100,80-84,34,41.7612260356422
48003950200,50-54,267,93.43446901438462
48003950200,55-59,283,112.76967677527502
48003950200,60-64,469,156.0416611036937
48003950200,65-69,202,79.8373346248483
48003950200,70-74,231,83.19254774317228
48003950200,75-79,310,109.22453936730518
48003950200,80-84,96,68.963758598266665
48003950300,50-54,240,82.3286098510111
48003950300,55-59,144,65.45991139621256
48003950300,60-64,211,100.44899203078147
48003950300,65-69,84,48.28043081829324
48003950300,70-74,168,64.4437739428721
48003950300,75-79,91,50.60632371551998
48003950300,80-84,18,23.021728866442675
48003950400,50-54,366,83.43860018001261
48003950400,55-59,133,69.77105417004964
48003950400,60-64,116,62.66578013557319
48003950400,65-69,44,31.591137997862628
48003950400,70-74,64,37.013511046643494
48003950400,75-79,31,33.83784863137726
48003950400,80-84,0,13
48005000101,50-54,357,132.27622613304328
48005000101,55-59,430,147.4347313220328
48005000101,60-64,446,160.43378696521503
48005000101,65-69,208,99.05553997631834
48005000101,70-74,131,84.02380615040002
48005000101,75-79,97,56.356011214421486
48005000101,80-84,140,96.42613753542138
48005000102,50-54,329,128.14054783713078
48005000102,55-59,113,79.39773296511683
48005000102,60-64,261,118.18206293680949
48005000102,65-69,185,81.54753215150045
48005000102,70-74,99,64.35060217278468
48005000102,75-79,74,49.4064773081425
48005000102,80-84,57,52.478567053607705
48005000200,50-54,267,106.17438485811914
48005000200,55-59,432,156.54072952429985
48005000200,60-64,377,143
48005000200,65-69,356,126.08727136392476
48005000200,70-74,297,99.82484660644363
48005000200,75-79,111,60.876925020897694
48005000200,80-84,79,60.207972893961475
48005000301,50-54,336,133.4053971921676
48005000301,55-59,305,96.54014708917737
48005000301,60-64,348,130.89690599857585
48005000301,65-69,193,90.80748867797193
48005000301,70-74,238,109.20164833920778
48005000301,75-79,150,65.11528238439882
48005000301,80-84,40,32.2490309931942
48005000302,50-54,423,136.02940858505562
48005000302,55-59,309,106.77546534667971
48005000302,60-64,239,96.43650760992955
48005000302,65-69,166,76.11175993235211
48005000302,70-74,122,66.85057965343307
48005000302,75-79,111,66.2872536767062
48005000302,80-84,61,42.43819034784589
48005000400,50-54,507,162.68988905276197
48005000400,55-59,335,94.76286192385707
48005000400,60-64,250,114.86513831445988
48005000400,65-69,257,109.27945827098522
48005000400,70-74,222,94.02127418834527
48005000400,75-79,155,64.03124237432849
48005000400,80-84,138,77.83315488916018
48005000500,50-54,408,115.52056094046635
48005000500,55-59,317,111.72287142747452
48005000500,60-64,207,75.22632517942107
48005000500,65-69,272,99.3327740476425
48005000500,70-74,121,67.08203932499369
48005000500,75-79,208,55.86591089385369
48005000500,80-84,85,45.31004303683677
48005000600,50-54,483,133.05637902783917
48005000600,55-59,299,106.21675950620975
48005000600,60-64,388,134.59197598668354
48005000600,65-69,88,55.299186250793966
48005000600,70-74,65,53.45091205957107
48005000600,75-79,146,51.66236541235796
48005000600,80-84,136,81.83520025025906
48005000700,50-54,140,72.069410986909
48005000700,55-59,181,69.40461079784254
48005000700,60-64,121,55.776339069537364
48005000700,65-69,65,49.59838707054898
48005000700,70-74,81,53.150729063673246
48005000700,75-79,60,39.35733730830886
48005000700,80-84,54,43.965895873961216
48005000800,50-54,302,127.31064370271639
48005000800,55-59,237,99.70456358662827
48005000800,60-64,262,125.33554962579451
48005000800,65-69,272,131.73458164050928
48005000800,70-74,216,74.41102068914255
