GEOID,Age,Race,estimate,moe
48001950100,55-64,API,0,95
48001950100,55-64,BLACK,61,53.225933528685054
48001950100,55-64,LATINO,0,95
48001950100,55-64,WHITE,698,191.0026177831079
48001950100,65-74,API,0,95
48001950100,65-74,BLACK,73,48.25971404805462
48001950100,65-74,LATINO,0,95
48001950100,65-74,WHITE,498,115.27792503337315
48001950100,75-84,API,0,95
48001950100,75-84,BLACK,13,18
48001950100,75-84,LATINO,0,95
48001950100,75-84,WHITE,173,65
48001950401,55-64,API,0,95
48001950401,55-64,BLACK,169,133.64505228402584
48001950401,55-64,LATINO,89,116.2497311824849
48001950401,55-64,WHITE,170,143.0873858870865
48001950401,65-74,API,0,95
48001950401,65-74,BLACK,12,96.0260381354974
48001950401,65-74,LATINO,59,123.5556554755791
48001950401,65-74,WHITE,51,98.76234100101111
48001950401,75-84,API,0,95
48001950401,75-84,BLACK,0,95
48001950401,75-84,LATINO,0,95
48001950401,75-84,WHITE,0,95
48001950402,55-64,API,0,95
48001950402,55-64,BLACK,69,102.69371937952194
48001950402,55-64,LATINO,33,98.76234100101111
48001950402,55-64,WHITE,32,29.698484809834994
48001950402,65-74,API,0,95
48001950402,65-74,BLACK,0,95
48001950402,65-74,LATINO,11,96.88137075826292
48001950402,65-74,WHITE,25,97.98469268207153
48001950402,75-84,API,0,95
48001950402,75-84,BLACK,0,95
48001950402,75-84,LATINO,0,95
48001950402,75-84,WHITE,0,95
48001950500,55-64,API,0,95
48001950500,55-64,BLACK,45,39.824615503479755
48001950500,55-64,LATINO,51,33.015148038438355
48001950500,55-64,WHITE,293,93.62157870918435
48001950500,65-74,API,0,95
48001950500,65-74,BLACK,21,27.018512172212592
48001950500,65-74,LATINO,40,46.32493928760188
48001950500,65-74,WHITE,438,126.49110640673517
48001950500,75-84,API,0,95
48001950500,75-84,BLACK,9,15
48001950500,75-84,LATINO,9,16
48001950500,75-84,WHITE,75,35
48001950600,55-64,API,0,95
48001950600,55-64,BLACK,22,29.206163733020468
48001950600,55-64,LATINO,57,57.271284253105414
48001950600,55-64,WHITE,333,118.2285921425101
48001950600,65-74,API,3,164.79077644091615
48001950600,65-74,BLACK,41,40.24922359499622
48001950600,65-74,LATINO,21,26.40075756488817
48001950600,65-74,WHITE,215,70.178344238091
48001950600,75-84,API,0,95
48001950600,75-84,BLACK,53,56
48001950600,75-84,LATINO,0,95
48001950600,75-84,WHITE,126,68
48001950700,55-64,API,0,95
48001950700,55-64,BLACK,225,99.28242543370907
48001950700,55-64,LATINO,0,95
48001950700,55-64,WHITE,111,79.2464510246358
48001950700,65-74,API,0,95
48001950700,65-74,BLACK,89,62.96824596572466
48001950700,65-74,LATINO,2,7.810249675906654
48001950700,65-74,WHITE,61,29.832867780352597
48001950700,75-84,API,0,95
48001950700,75-84,BLACK,42,27
48001950700,75-84,LATINO,0,95
48001950700,75-84,WHITE,2,5
48001950800,55-64,API,0,95
48001950800,55-64,BLACK,47,118.00423721205946
48001950800,55-64,LATINO,0,95
48001950800,55-64,WHITE,478,122.88612614937456
48001950800,65-74,API,0,95
48001950800,65-74,BLACK,44,113.44161493913951
48001950800,65-74,LATINO,43,41.617304093369626
48001950800,65-74,WHITE,272,83.52843827104634
48001950800,75-84,API,47,105.55093557141026
48001950800,75-84,BLACK,0,95
48001950800,75-84,LATINO,0,95
48001950800,75-84,WHITE,92,49
48001950901,55-64,API,0,95
48001950901,55-64,BLACK,74,118.6001686339442
48001950901,55-64,LATINO,0,95
48001950901,55-64,WHITE,806,266.0695397823659
48001950901,65-74,API,0,95
48001950901,65-74,BLACK,109,140.12137595670404
48001950901,65-74,LATINO,30,103.46980235798269
48001950901,65-74,WHITE,239,97.67292357659824
48001950901,75-84,API,0,95
48001950901,75-84,BLACK,1,2
48001950901,75-84,LATINO,0,95
48001950901,75-84,WHITE,78,53
48001950902,55-64,API,0,95
48001950902,55-64,BLACK,80,55.44366510251645
48001950902,55-64,LATINO,17,97.082439194738
48001950902,55-64,WHITE,746,185.20529150107996
48001950902,65-74,API,8,165.22711641858305
48001950902,65-74,BLACK,18,20.591260281974
48001950902,65-74,LATINO,118,83.6719785830358
48001950902,65-74,WHITE,527,160.1030917877603
48001950902,75-84,API,0,95
48001950902,75-84,BLACK,0,95
48001950902,75-84,LATINO,0,95
48001950902,75-84,WHITE,108,47
48001951000,55-64,API,0,95
48001951000,55-64,BLACK,43,102.31813133555558
48001951000,55-64,LATINO,11,13.892443989449804
48001951000,55-64,WHITE,801,167.73789077009405
48001951000,65-74,API,0,95
48001951000,65-74,BLACK,48,41.340053217188775
48001951000,65-74,LATINO,32,102.69371937952194
48001951000,65-74,WHITE,618,142.00352108310554
48001951000,75-84,API,0,95
48001951000,75-84,BLACK,20,20
48001951000,75-84,LATINO,0,95
48001951000,75-84,WHITE,117,45
48001951100,55-64,API,0,95
48001951100,55-64,BLACK,80,50.60632371551998
48001951100,55-64,LATINO,31,39.21734310225516
48001951100,55-64,WHITE,548,167.45148551147582
48001951100,65-74,API,0,95
48001951100,65-74,BLACK,127,89.49860334105779
48001951100,65-74,LATINO,0,95
48001951100,65-74,WHITE,461,120.28299963003916
48001951100,75-84,API,0,95
48001951100,75-84,BLACK,18,29
48001951100,75-84,LATINO,0,95
48001951100,75-84,WHITE,172,103
48003950100,55-64,API,0,95
48003950100,55-64,BLACK,8,95.75489543621255
48003950100,55-64,LATINO,0,95
48003950100,55-64,WHITE,109,60.81118318204309
48003950100,65-74,API,0,95
48003950100,65-74,BLACK,0,95
48003950100,65-74,LATINO,0,95
48003950100,65-74,WHITE,93,40.36087214122113
48003950100,75-84,API,0,95
48003950100,75-84,BLACK,0,95
48003950100,75-84,LATINO,0,95
48003950100,75-84,WHITE,71,55
48003950200,55-64,API,0,95
48003950200,55-64,BLACK,49,37.16180835212409
48003950200,55-64,LATINO,195,86.05230967266364
48003950200,55-64,WHITE,494,98.2344135219425
48003950200,65-74,API,18,165.32090007013633
48003950200,65-74,BLACK,0,95
48003950200,65-74,LATINO,17,99.92997548283498
48003950200,65-74,WHITE,315,67.35725647619564
48003950200,75-84,API,0,95
48003950200,75-84,BLACK,9,12
48003950200,75-84,LATINO,16,27
48003950200,75-84,WHITE,152,66
48003950300,55-64,API,0,95
48003950300,55-64,BLACK,4,95.25754563287887
48003950300,55-64,LATINO,167,78.26237921249263
48003950300,55-64,WHITE,166,74.81310045707235
48003950300,65-74,API,0,95
48003950300,65-74,BLACK,4,95.25754563287887
48003950300,65-74,LATINO,131,86.83893136145792
48003950300,65-74,WHITE,134,48.83646178829912
48003950300,75-84,API,0,95
48003950300,75-84,BLACK,0,95
48003950300,75-84,LATINO,67,63
48003950300,75-84,WHITE,39,35
48003950400,55-64,API,0,95
48003950400,55-64,BLACK,0,95
48003950400,55-64,LATINO,86,61.554853586049575
48003950400,55-64,WHITE,152,73.66138744281159
48003950400,65-74,API,0,95
48003950400,65-74,BLACK,0,95
48003950400,65-74,LATINO,0,95
48003950400,65-74,WHITE,87,42.42640687119285
48003950400,75-84,API,0,95
48003950400,75-84,BLACK,0,95
48003950400,75-84,LATINO,0,95
48003950400,75-84,WHITE,36,39
48005000101,55-64,API,0,95
48005000101,55-64,BLACK,19,27.294688127912362
48005000101,55-64,LATINO,19,100.56838469419701
48005000101,55-64,WHITE,753,175.56765077883796
48005000101,65-74,API,0,95
48005000101,65-74,BLACK,21,100.24470060806208
48005000101,65-74,LATINO,53,119.20151005754919
48005000101,65-74,WHITE,315,102.80077820717118
48005000101,75-84,API,0,95
48005000101,75-84,BLACK,0,95
48005000101,75-84,LATINO,0,95
48005000101,75-84,WHITE,107,75
48005000102,55-64,API,0,95
48005000102,55-64,BLACK,0,95
48005000102,55-64,LATINO,51,53.823786563191554
48005000102,55-64,WHITE,421,111.94641575325224
48005000102,65-74,API,0,95
48005000102,65-74,BLACK,0,95
48005000102,65-74,LATINO,86,76.83749084919418
48005000102,65-74,WHITE,178,80.15609770940699
