GEOID,Age,Race,estimate,moe
48001950100,55-64,API,0,14
48001950100,55-64,BLACK,46,31.622776601683793
48001950100,55-64,LATINO,27,37.36308338453881
48001950100,55-64,WHITE,554,124.57929201917949
48001950100,65-74,API,0,14
48001950100,65-74,BLACK,3,14.866068747318506
48001950100,65-74,LATINO,0,14
48001950100,65-74,WHITE,604,111.50336317797773
48001950100,75-84,API,0,14
48001950100,75-84,BLACK,12,19
48001950100,75-84,LATINO,0,14
48001950100,75-84,WHITE,144,50
48001950401,55-64,API,0,14
48001950401,55-64,BLACK,85,50
48001950401,55-64,LATINO,68,42.37924020083418
48001950401,55-64,WHITE,143,52.88667128870941
48001950401,65-74,API,0,14
48001950401,65-74,BLACK,9,21.2602916254693
48001950401,65-74,LATINO,18,27.784887978899608
48001950401,65-74,WHITE,35,28.460498941515414
48001950401,75-84,API,0,14
48001950401,75-84,BLACK,0,14
48001950401,75-84,LATINO,0,14
48001950401,75-84,WHITE,0,14
48001950402,55-64,API,0,19
48001950402,55-64,BLACK,269,76.40026177965623
48001950402,55-64,LATINO,190,72.53275122315436
48001950402,55-64,WHITE,341,101.43470806385751
48001950402,65-74,API,0,19
48001950402,65-74,BLACK,42,38.948684188300895
48001950402,65-74,LATINO,30,30.610455730027933
48001950402,65-74,WHITE,142,61.032778078668514
48001950402,75-84,API,0,19
48001950402,75-84,BLACK,0,19
48001950402,75-84,LATINO,0,19
48001950402,75-84,WHITE,0,19
48001950500,55-64,API,0,14
48001950500,55-64,BLACK,85,75.45197147855052
48001950500,55-64,LATINO,126,72.61542535852834
48001950500,55-64,WHITE,218,72.13875518748573
48001950500,65-74,API,0,14
48001950500,65-74,BLACK,71,60.166435825965294
48001950500,65-74,LATINO,24,27.018512172212592
48001950500,65-74,WHITE,224,64.66065264130884
48001950500,75-84,API,0,14
48001950500,75-84,BLACK,85,92
48001950500,75-84,LATINO,0,14
48001950500,75-84,WHITE,44,34
48001950600,55-64,API,0,19
48001950600,55-64,BLACK,307,144.80676779764127
