GEOID,NAME,Age,estimate,approx_moe
48001950100,"Census Tract 9501, Anderson County, Texas",55-64,34,34.058772731852805
48001950100,"Census Tract 9501, Anderson County, Texas",65-74,97,46.400431032480725
48001950401,"Census Tract 9504.01, Anderson County, Texas",55-64,149,145.98972566588375
48001950401,"Census Tract 9504.01, Anderson County, Texas",65-74,28,129.634100452003
48001950402,"Census Tract 9504.02, Anderson County, Texas",55-64,202,198.07321878537743
48001950402,"Census Tract 9504.02, Anderson County, Texas",65-74,10,127.88275880665071
48001950500,"Census Tract 9505, Anderson County, Texas",55-64,28,27.80287754891569
48001950500,"Census Tract 9505, Anderson County, Texas",65-74,38,36.05551275463989
48001950600,"Census Tract 9506, Anderson County, Texas",55-64,31,30
48001950600,"Census Tract 9506, Anderson County, Texas",65-74,58,41.23105625617661
48001950700,"Census Tract 9507, Anderson County, Texas",55-64,154,104.12012293500234
48001950700,"Census Tract 9507, Anderson County, Texas",65-74,66,39.84971769034255
48001950800,"Census Tract 9508, Anderson County, Texas",55-64,108,80.06247560499239
48001950800,"Census Tract 9508, Anderson County, Texas",65-74,36,139.20488497175666
48001950901,"Census Tract 9509.01, Anderson County, Texas",55-64,54,140.45995870709916
48001950901,"Census Tract 9509.01, Anderson County, Texas",65-74,0,127
48001950902,"Census Tract 9509.02, Anderson County, Texas",55-64,61,47.80167361086848
48001950902,"Census Tract 9509.02, Anderson County, Texas",65-74,25,22.847319317591726
48001951000,"Census Tract 9510, Anderson County, Texas",55-64,37,130.728726758888
48001951000,"Census Tract 9510, Anderson County, Texas",65-74,57,43.829214001622255
48001951100,"Census Tract 9511, Anderson County, Texas",55-64,56,42.5205832509386
48001951100,"Census Tract 9511, Anderson County, Texas",65-74,103,53.31041174104736
48003950100,"Census Tract 9501, Andrews County, Texas",55-64,0,127
48003950100,"Census Tract 9501, Andrews County, Texas",65-74,0,127
48003950200,"Census Tract 9502, Andrews County, Texas",55-64,45,43.174066289845804
48003950200,"Census Tract 9502, Andrews County, Texas",65-74,0,127
48003950300,"Census Tract 9503, Andrews County, Texas",55-64,4,127.09838708654017
48003950300,"Census Tract 9503, Andrews County, Texas",65-74,4,127.09838708654017
48003950400,"Census Tract 9504, Andrews County, Texas",55-64,0,127
48003950400,"Census Tract 9504, Andrews County, Texas",65-74,0,127
48005000101,"Census Tract 1.01, Angelina County, Texas",55-64,14,129.0658746532173
48005000101,"Census Tract 1.01, Angelina County, Texas",65-74,15,128.89142717807107
48005000102,"Census Tract 1.02, Angelina County, Texas",55-64,0,127
48005000102,"Census Tract 1.02, Angelina County, Texas",65-74,0,127
48005000200,"Census Tract 2, Angelina County, Texas",55-64,66,65.19202405202648
48005000200,"Census Tract 2, Angelina County, Texas",65-74,36,40.607881008493905
48005000301,"Census Tract 3.01, Angelina County, Texas",55-64,35,44.553338819890925
48005000301,"Census Tract 3.01, Angelina County, Texas",65-74,0,127
48005000302,"Census Tract 3.02, Angelina County, Texas",55-64,0,127
48005000302,"Census Tract 3.02, Angelina County, Texas",65-74,0,127
48005000400,"Census Tract 4, Angelina County, Texas",55-64,184,94.11163583744573
48005000400,"Census Tract 4, Angelina County, Texas",65-74,48,42.638011210655684
48005000500,"Census Tract 5, Angelina County, Texas",55-64,519,118.92854997854805
48005000500,"Census Tract 5, Angelina County, Texas",65-74,303,114.62111498323509
48005000600,"Census Tract 6, Angelina County, Texas",55-64,149,73.87827826905551
48005000600,"Census Tract 6, Angelina County, Texas",65-74,88,70.83078426785913
48005000700,"Census Tract 7, Angelina County, Texas",55-64,38,32.526911934581186
48005000700,"Census Tract 7, Angelina County, Texas",65-74,0,127
48005000800,"Census Tract 8, Angelina County, Texas",55-64,34,41.88078318274385
48005000800,"Census Tract 8, Angelina County, Texas",65-74,0,127
48005000901,"Census Tract 9.01, Angelina County, Texas",55-64,112,84.38601779915912
48005000901,"Census Tract 9.01, Angelina County, Texas",65-74,12,128.2692480682724
48005000902,"Census Tract 9.02, Angelina County, Texas",55-64,0,127
