GEOID,Age,Race,estimate,moe
48001950100,55-64,ASIAN,0,127
48001950100,55-64,BLACK,10,128.89142717807107
48001950100,55-64,LATINO,0,127
48001950100,55-64,PACIFIC,0,127
48001950100,55-64,WHITE,623,139.94641831786907
48001950100,65-74,ASIAN,0,127
48001950100,65-74,BLACK,53,32.64965543462902
48001950100,65-74,LATINO,1,127.01574705523721
48001950100,65-74,PACIFIC,0,127
48001950100,65-74,WHITE,584,126.57408897558773
48001950100,75-84,ASIAN,0,127
48001950100,75-84,BLACK,2,5
48001950100,75-84,LATINO,0,127
48001950100,75-84,PACIFIC,0,127
48001950100,75-84,WHITE,130,53
48001950200,55-64,ASIAN,0,127
48001950200,55-64,BLACK,15,21.633307652783937
48001950200,55-64,LATINO,0,127
48001950200,55-64,PACIFIC,0,127
48001950200,55-64,WHITE,532,165.89454481688057
48001950200,65-74,ASIAN,0,127
48001950200,65-74,BLACK,51,39.81205847478876
48001950200,65-74,LATINO,0,127
48001950200,65-74,PACIFIC,0,127
48001950200,65-74,WHITE,354,106.88779163215975
48001950200,75-84,ASIAN,0,127
48001950200,75-84,BLACK,23,31
48001950200,75-84,LATINO,0,127
48001950200,75-84,PACIFIC,0,127
48001950200,75-84,WHITE,134,86
48001950300,55-64,ASIAN,0,127
48001950300,55-64,BLACK,51,34.713109915419565
48001950300,55-64,LATINO,0,127
48001950300,55-64,PACIFIC,0,127
48001950300,55-64,WHITE,53,34.655446902326915
48001950300,65-74,ASIAN,0,127
48001950300,65-74,BLACK,11,128.00390619039717
48001950300,65-74,LATINO,0,127
48001950300,65-74,PACIFIC,0,127
48001950300,65-74,WHITE,80,42.638011210655684
48001950300,75-84,ASIAN,0,127
48001950300,75-84,BLACK,20,30
48001950300,75-84,LATINO,0,127
48001950300,75-84,PACIFIC,0,127
48001950300,75-84,WHITE,11,16
48001950400,55-64,ASIAN,0,127
48001950400,55-64,BLACK,265,212.20037700249262
48001950400,55-64,LATINO,101,137.6154061142865
48001950400,55-64,PACIFIC,0,127
48001950400,55-64,WHITE,191,144.53373308677806
48001950400,65-74,ASIAN,0,127
48001950400,65-74,BLACK,42,132.00378782444085
48001950400,65-74,LATINO,10,128.1327436684316
48001950400,65-74,PACIFIC,0,127
