Year,MSA,Race,Age,Pop
2002,Austin,H,50-54,13382
2002,Austin,H,55-59,9133
2002,Austin,H,60-64,5886
2002,Austin,H,65-69,4447
2002,Austin,H,70-74,3293
2002,Austin,H,75-79,2273
2003,Austin,H,50-54,14141
2003,Austin,H,55-59,10087
2003,Austin,H,60-64,6210
2003,Austin,H,65-69,4791
2003,Austin,H,70-74,3307
2003,Austin,H,75-79,2397
2004,Austin,H,50-54,15050
2004,Austin,H,55-59,10889
2004,Austin,H,60-64,6832
2004,Austin,H,65-69,5023
2004,Austin,H,70-74,3490
2004,Austin,H,75-79,2524
2005,Austin,H,50-54,16265
2005,Austin,H,55-59,11929
2005,Austin,H,60-64,7559
2005,Austin,H,65-69,5246
2005,Austin,H,70-74,3719
2005,Austin,H,75-79,2682
2006,Austin,H,50-54,17464
2006,Austin,H,55-59,13104
2006,Austin,H,60-64,8422
2006,Austin,H,65-69,5642
2006,Austin,H,70-74,4066
2006,Austin,H,75-79,2822
2007,Austin,H,50-54,19210
2007,Austin,H,55-59,14015
2007,Austin,H,60-64,9388
2007,Austin,H,65-69,5954
2007,Austin,H,70-74,4351
2007,Austin,H,75-79,2973
2008,Austin,H,50-54,20700
2008,Austin,H,55-59,14895
2008,Austin,H,60-64,10490
2008,Austin,H,65-69,6349
2008,Austin,H,70-74,4688
2008,Austin,H,75-79,3021
2009,Austin,H,50-54,22206
2009,Austin,H,55-59,15914
2009,Austin,H,60-64,11375
2009,Austin,H,65-69,6972
2009,Austin,H,70-74,4921
2009,Austin,H,75-79,3262
2010,Austin,H,50-54,23833
2010,Austin,H,55-59,17157
2010,Austin,H,60-64,12340
2010,Austin,H,65-69,7730
2010,Austin,H,70-74,5146
2010,Austin,H,75-79,3512
2011,Austin,H,50-54,25306
2011,Austin,H,55-59,18575
2011,Austin,H,60-64,13506
2011,Austin,H,65-69,8412
2011,Austin,H,70-74,5507
2011,Austin,H,75-79,3764
2012,Austin,H,50-54,27007
2012,Austin,H,55-59,20083
2012,Austin,H,60-64,14488
2012,Austin,H,65-69,9336
2012,Austin,H,70-74,5870
2012,Austin,H,75-79,4011
2013,Austin,H,50-54,28569
2013,Austin,H,55-59,21671
2013,Austin,H,60-64,15451
2013,Austin,H,65-69,10386
2013,Austin,H,70-74,6296
2013,Austin,H,75-79,4319
2014,Austin,H,50-54,30331
2014,Austin,H,55-59,23198
2014,Austin,H,60-64,16605
2014,Austin,H,65-69,11421
2014,Austin,H,70-74,6788
2014,Austin,H,75-79,4558
2015,Austin,H,50-54,31928
2015,Austin,H,55-59,24793
2015,Austin,H,60-64,17968
2015,Austin,H,65-69,12471
2015,Austin,H,70-74,7366
2015,Austin,H,75-79,4769
2016,Austin,H,50-54,33406
2016,Austin,H,55-59,26388
2016,Austin,H,60-64,19280
2016,Austin,H,65-69,13670
2016,Austin,H,70-74,7985
2016,Austin,H,75-79,5046
2017,Austin,H,50-54,34481
2017,Austin,H,55-59,27949
2017,Austin,H,60-64,20768
2017,Austin,H,65-69,14574
2017,Austin,H,70-74,8806
2017,Austin,H,75-79,5412
2018,Austin,H,50-54,35971
2018,Austin,H,55-59,29410
2018,Austin,H,60-64,22226
2018,Austin,H,65-69,15385
2018,Austin,H,70-74,9803
2018,Austin,H,75-79,5783
1999,Dallas,H,50-54,31084
1999,Dallas,H,55-59,19952
1999,Dallas,H,60-64,13935
1999,Dallas,H,65-69,9415
1999,Dallas,H,70-74,6817
1999,Dallas,H,75-79,4284
2000,Dallas,H,50-54,34307
2000,Dallas,H,55-59,22152
2000,Dallas,H,60-64,14964
2000,Dallas,H,65-69,10153
2000,Dallas,H,70-74,7284
2000,Dallas,H,75-79,4673
2001,Dallas,H,50-54,37697
2001,Dallas,H,55-59,24334
2001,Dallas,H,60-64,16095
2001,Dallas,H,65-69,10905
2001,Dallas,H,70-74,7774
2001,Dallas,H,75-79,5077
2002,Dallas,H,50-54,40170
2002,Dallas,H,55-59,27100
2002,Dallas,H,60-64,17214
2002,Dallas,H,65-69,11724
2002,Dallas,H,70-74,8143
2002,Dallas,H,75-79,5489
2003,Dallas,H,50-54,42984
2003,Dallas,H,55-59,29752
2003,Dallas,H,60-64,18684
2003,Dallas,H,65-69,12713
2003,Dallas,H,70-74,8572
2003,Dallas,H,75-79,5861
2004,Dallas,H,50-54,46055
2004,Dallas,H,55-59,32414
2004,Dallas,H,60-64,20271
2004,Dallas,H,65-69,13652
2004,Dallas,H,70-74,9047
2004,Dallas,H,75-79,6266
2005,Dallas,H,50-54,49598
2005,Dallas,H,55-59,35214
2005,Dallas,H,60-64,22182
2005,Dallas,H,65-69,14591
2005,Dallas,H,70-74,9789
2005,Dallas,H,75-79,6739
2006,Dallas,H,50-54,53431
2006,Dallas,H,55-59,38247
2006,Dallas,H,60-64,24149
2006,Dallas,H,65-69,15926
2006,Dallas,H,70-74,10601
2006,Dallas,H,75-79,7227
2007,Dallas,H,50-54,58367
2007,Dallas,H,55-59,40726
2007,Dallas,H,60-64,26723
2007,Dallas,H,65-69,17081
2007,Dallas,H,70-74,11379
2007,Dallas,H,75-79,7584
2008,Dallas,H,50-54,62803
2008,Dallas,H,55-59,43701
2008,Dallas,H,60-64,29304
2008,Dallas,H,65-69,18598
2008,Dallas,H,70-74,12301
2008,Dallas,H,75-79,8049
2009,Dallas,H,50-54,67858
2009,Dallas,H,55-59,46675
2009,Dallas,H,60-64,31919
2009,Dallas,H,65-69,20127
2009,Dallas,H,70-74,13180
2009,Dallas,H,75-79,8527
2010,Dallas,H,50-54,73293
2010,Dallas,H,55-59,50176
2010,Dallas,H,60-64,34658
2010,Dallas,H,65-69,21958
2010,Dallas,H,70-74,14142
2010,Dallas,H,75-79,9153
2011,Dallas,H,50-54,78437
2011,Dallas,H,55-59,54236
2011,Dallas,H,60-64,37764
2011,Dallas,H,65-69,23862
2011,Dallas,H,70-74,15123
2011,Dallas,H,75-79,9811
2012,Dallas,H,50-54,83912
2012,Dallas,H,55-59,59002
2012,Dallas,H,60-64,40447
2012,Dallas,H,65-69,26433
2012,Dallas,H,70-74,16171
2012,Dallas,H,75-79,10494
2013,Dallas,H,50-54,89286
2013,Dallas,H,55-59,63425
2013,Dallas,H,60-64,43168
2013,Dallas,H,65-69,28754
2013,Dallas,H,70-74,17581
2013,Dallas,H,75-79,11352
2014,Dallas,H,50-54,94939
2014,Dallas,H,55-59,68415
2014,Dallas,H,60-64,46179
2014,Dallas,H,65-69,31137
2014,Dallas,H,70-74,19181
2014,Dallas,H,75-79,12193
2015,Dallas,H,50-54,100348
2015,Dallas,H,55-59,73802
2015,Dallas,H,60-64,49865
2015,Dallas,H,65-69,33913
2015,Dallas,H,70-74,20854
2015,Dallas,H,75-79,13040
2016,Dallas,H,50-54,106107
2016,Dallas,H,55-59,78986
2016,Dallas,H,60-64,53802
2016,Dallas,H,65-69,36754
2016,Dallas,H,70-74,22560
2016,Dallas,H,75-79,14003
2017,Dallas,H,50-54,111272
2017,Dallas,H,55-59,84199
2017,Dallas,H,60-64,58285
2017,Dallas,H,65-69,38970
2017,Dallas,H,70-74,24953
2017,Dallas,H,75-79,14949
2018,Dallas,H,50-54,116360
2018,Dallas,H,55-59,89598
2018,Dallas,H,60-64,62495
2018,Dallas,H,65-69,41656
2018,Dallas,H,70-74,27103
2018,Dallas,H,75-79,16178
1999,El Paso,H,50-54,24022
1999,El Paso,H,55-59,17411
1999,El Paso,H,60-64,15619
1999,El Paso,H,65-69,13778
1999,El Paso,H,70-74,12214
1999,El Paso,H,75-79,8061
2000,El Paso,H,50-54,25333
2000,El Paso,H,55-59,18329
2000,El Paso,H,60-64,15871
2000,El Paso,H,65-69,14293
2000,El Paso,H,70-74,12771
2000,El Paso,H,75-79,8605
2001,El Paso,H,50-54,27063
2001,El Paso,H,55-59,19163
2001,El Paso,H,60-64,16208
2001,El Paso,H,65-69,14588
2001,El Paso,H,70-74,13059
2001,El Paso,H,75-79,9181
2002,El Paso,H,50-54,28062
2002,El Paso,H,55-59,20761
2002,El Paso,H,60-64,16602
2002,El Paso,H,65-69,14709
2002,El Paso,H,70-74,13390
2002,El Paso,H,75-79,9582
2003,El Paso,H,50-54,29415
2003,El Paso,H,55-59,22288
2003,El Paso,H,60-64,17098
2003,El Paso,H,65-69,15185
2003,El Paso,H,70-74,13455
2003,El Paso,H,75-79,10031
2004,El Paso,H,50-54,30929
2004,El Paso,H,55-59,23948
2004,El Paso,H,60-64,17628
2004,El Paso,H,65-69,15575
2004,El Paso,H,70-74,13499
2004,El Paso,H,75-79,10530
2005,El Paso,H,50-54,32321
2005,El Paso,H,55-59,25588
2005,El Paso,H,60-64,18361
2005,El Paso,H,65-69,15786
2005,El Paso,H,70-74,13541
2005,El Paso,H,75-79,11102
2006,El Paso,H,50-54,33792
2006,El Paso,H,55-59,27335
2006,El Paso,H,60-64,19225
2006,El Paso,H,65-69,16172
2006,El Paso,H,70-74,13826
2006,El Paso,H,75-79,11456
2007,El Paso,H,50-54,35429
2007,El Paso,H,55-59,28481
2007,El Paso,H,60-64,20835
2007,El Paso,H,65-69,16657
2007,El Paso,H,70-74,13928
2007,El Paso,H,75-79,11780
2008,El Paso,H,50-54,36940
2008,El Paso,H,55-59,29715
2008,El Paso,H,60-64,22373
2008,El Paso,H,65-69,17222
2008,El Paso,H,70-74,14475
2008,El Paso,H,75-79,11892
2009,El Paso,H,50-54,38385
2009,El Paso,H,55-59,31207
2009,El Paso,H,60-64,24093
2009,El Paso,H,65-69,17824
2009,El Paso,H,70-74,14887
2009,El Paso,H,75-79,11934
2010,El Paso,H,50-54,40030
2010,El Paso,H,55-59,32591
2010,El Paso,H,60-64,25689
2010,El Paso,H,65-69,18554
2010,El Paso,H,70-74,15145
2010,El Paso,H,75-79,12026
2011,El Paso,H,50-54,40664
2011,El Paso,H,55-59,33786
2011,El Paso,H,60-64,26937
2011,El Paso,H,65-69,19216
2011,El Paso,H,70-74,15372
2011,El Paso,H,75-79,12139
2012,El Paso,H,50-54,41150
2012,El Paso,H,55-59,34989
2012,El Paso,H,60-64,27466
2012,El Paso,H,65-69,20453
2012,El Paso,H,70-74,15700
2012,El Paso,H,75-79,12262
2013,El Paso,H,50-54,41225
2013,El Paso,H,55-59,35881
2013,El Paso,H,60-64,28134
2013,El Paso,H,65-69,21594
2013,El Paso,H,70-74,16104
2013,El Paso,H,75-79,12569
2014,El Paso,H,50-54,40864
2014,El Paso,H,55-59,36722
2014,El Paso,H,60-64,28989
2014,El Paso,H,65-69,22726
2014,El Paso,H,70-74,16483
2014,El Paso,H,75-79,12856
2015,El Paso,H,50-54,40112
2015,El Paso,H,55-59,37606
2015,El Paso,H,60-64,30053
2015,El Paso,H,65-69,23794
2015,El Paso,H,70-74,16967
2015,El Paso,H,75-79,13143
2016,El Paso,H,50-54,39406
2016,El Paso,H,55-59,38046
2016,El Paso,H,60-64,31163
2016,El Paso,H,65-69,24976
2016,El Paso,H,70-74,17540
2016,El Paso,H,75-79,13403
2017,El Paso,H,50-54,38675
2017,El Paso,H,55-59,38547
2017,El Paso,H,60-64,32236
2017,El Paso,H,65-69,25436
2017,El Paso,H,70-74,18730
2017,El Paso,H,75-79,13664
2018,El Paso,H,50-54,38184
2018,El Paso,H,55-59,38571
2018,El Paso,H,60-64,33107
2018,El Paso,H,65-69,26127
2018,El Paso,H,70-74,19827
2018,El Paso,H,75-79,13946
1999,Houston,H,50-54,44844
1999,Houston,H,55-59,28977
1999,Houston,H,60-64,20959
1999,Houston,H,65-69,15518
1999,Houston,H,70-74,11531
1999,Houston,H,75-79,7297
2000,Houston,H,50-54,49074
2000,Houston,H,55-59,31688
2000,Houston,H,60-64,22109
2000,Houston,H,65-69,16508
2000,Houston,H,70-74,12209
2000,Houston,H,75-79,7868
2001,Houston,H,50-54,53055
2001,Houston,H,55-59,34579
2001,Houston,H,60-64,23644
2001,Houston,H,65-69,17290
2001,Houston,H,70-74,12827
2001,Houston,H,75-79,8449
2002,Houston,H,50-54,56883
2002,Houston,H,55-59,38367
2002,Houston,H,60-64,25116
2002,Houston,H,65-69,18057
2002,Houston,H,70-74,13539
2002,Houston,H,75-79,9052
2003,Houston,H,50-54,60993
2003,Houston,H,55-59,41957
2003,Houston,H,60-64,26790
2003,Houston,H,65-69,19301
2003,Houston,H,70-74,14070
2003,Houston,H,75-79,9685
2004,Houston,H,50-54,65349
2004,Houston,H,55-59,45627
2004,Houston,H,60-64,29069
2004,Houston,H,65-69,20445
2004,Houston,H,70-74,14689
2004,Houston,H,75-79,10259
2005,Houston,H,50-54,70317
2005,Houston,H,55-59,49803
2005,Houston,H,60-64,31581
2005,Houston,H,65-69,21501
2005,Houston,H,70-74,15518
2005,Houston,H,75-79,10918
2006,Houston,H,50-54,75837
2006,Houston,H,55-59,53967
2006,Houston,H,60-64,34322
2006,Houston,H,65-69,23298
2006,Houston,H,70-74,16477
2006,Houston,H,75-79,11591
2007,Houston,H,50-54,81659
2007,Houston,H,55-59,57863
2007,Houston,H,60-64,37967
2007,Houston,H,65-69,24985
2007,Houston,H,70-74,17283
2007,Houston,H,75-79,12320
2008,Houston,H,50-54,87792
2008,Houston,H,55-59,62206
2008,Houston,H,60-64,41730
2008,Houston,H,65-69,26838
2008,Houston,H,70-74,18638
2008,Houston,H,75-79,12722
2009,Houston,H,50-54,93630
2009,Houston,H,55-59,67251
2009,Houston,H,60-64,45576
2009,Houston,H,65-69,29066
2009,Houston,H,70-74,19736
2009,Houston,H,75-79,13438
2010,Houston,H,50-54,99993
2010,Houston,H,55-59,72286
2010,Houston,H,60-64,49726
2010,Houston,H,65-69,31476
2010,Houston,H,70-74,20953
2010,Houston,H,75-79,14257
2011,Houston,H,50-54,105250
2011,Houston,H,55-59,77454
2011,Houston,H,60-64,53928
2011,Houston,H,65-69,33927
2011,Houston,H,70-74,22196
2011,Houston,H,75-79,15088
2012,Houston,H,50-54,110519
2012,Houston,H,55-59,83251
2012,Houston,H,60-64,57491
2012,Houston,H,65-69,37454
2012,Houston,H,70-74,23480
2012,Houston,H,75-79,15978
2013,Houston,H,50-54,116110
2013,Houston,H,55-59,88676
2013,Houston,H,60-64,61924
2013,Houston,H,65-69,40864
2013,Houston,H,70-74,25203
2013,Houston,H,75-79,17081
2014,Houston,H,50-54,122047
2014,Houston,H,55-59,94252
2014,Houston,H,60-64,66749
2014,Houston,H,65-69,44337
2014,Houston,H,70-74,27151
2014,Houston,H,75-79,18041
2015,Houston,H,50-54,127326
2015,Houston,H,55-59,100404
2015,Houston,H,60-64,72053
2015,Houston,H,65-69,48188
2015,Houston,H,70-74,29365
2015,Houston,H,75-79,19070
2016,Houston,H,50-54,132755
2016,Houston,H,55-59,105529
2016,Houston,H,60-64,77243
2016,Houston,H,65-69,52535
2016,Houston,H,70-74,31723
2016,Houston,H,75-79,20183
2017,Houston,H,50-54,137175
2017,Houston,H,55-59,110359
2017,Houston,H,60-64,82662
2017,Houston,H,65-69,55988
2017,Houston,H,70-74,35039
2017,Houston,H,75-79,21295
2018,Houston,H,50-54,141713
2018,Houston,H,55-59,115509
2018,Houston,H,60-64,87610
2018,Houston,H,65-69,60013
2018,Houston,H,70-74,38263
2018,Houston,H,75-79,22760
1999,San Antonio,H,50-54,40107
1999,San Antonio,H,55-59,28463
1999,San Antonio,H,60-64,23073
1999,San Antonio,H,65-69,19893
1999,San Antonio,H,70-74,16904
1999,San Antonio,H,75-79,12451
2000,San Antonio,H,50-54,43096
2000,San Antonio,H,55-59,30438
2000,San Antonio,H,60-64,23707
2000,San Antonio,H,65-69,20470
2000,San Antonio,H,70-74,17436
2000,San Antonio,H,75-79,13135
2001,San Antonio,H,50-54,45754
2001,San Antonio,H,55-59,32326
2001,San Antonio,H,60-64,24117
2001,San Antonio,H,65-69,20991
2001,San Antonio,H,70-74,17736
2001,San Antonio,H,75-79,13462
2002,San Antonio,H,50-54,47451
2002,San Antonio,H,55-59,35256
2002,San Antonio,H,60-64,25252
2002,San Antonio,H,65-69,21332
2002,San Antonio,H,70-74,18253
2002,San Antonio,H,75-79,13644
2003,San Antonio,H,50-54,49423
2003,San Antonio,H,55-59,37784
2003,San Antonio,H,60-64,26773
2003,San Antonio,H,65-69,21970
2003,San Antonio,H,70-74,18322
2003,San Antonio,H,75-79,14119
2004,San Antonio,H,50-54,51187
2004,San Antonio,H,55-59,40790
2004,San Antonio,H,60-64,28514
2004,San Antonio,H,65-69,22499
2004,San Antonio,H,70-74,18564
2004,San Antonio,H,75-79,14547
2005,San Antonio,H,50-54,52987
2005,San Antonio,H,55-59,43906
2005,San Antonio,H,60-64,30452
2005,San Antonio,H,65-69,23074
2005,San Antonio,H,70-74,18663
2005,San Antonio,H,75-79,14940
2006,San Antonio,H,50-54,55170
2006,San Antonio,H,55-59,47010
2006,San Antonio,H,60-64,32507
2006,San Antonio,H,65-69,23959
2006,San Antonio,H,70-74,19452
2006,San Antonio,H,75-79,15353
2007,San Antonio,H,50-54,57863
2007,San Antonio,H,55-59,48890
2007,San Antonio,H,60-64,35580
2007,San Antonio,H,65-69,25150
2007,San Antonio,H,70-74,19830
2007,San Antonio,H,75-79,15797
2008,San Antonio,H,50-54,60409
2008,San Antonio,H,55-59,50991
2008,San Antonio,H,60-64,38463
2008,San Antonio,H,65-69,26984
2008,San Antonio,H,70-74,20580
2008,San Antonio,H,75-79,15900
2009,San Antonio,H,50-54,62998
2009,San Antonio,H,55-59,52886
2009,San Antonio,H,60-64,41603
2009,San Antonio,H,65-69,28557
2009,San Antonio,H,70-74,21196
2009,San Antonio,H,75-79,16094
2010,San Antonio,H,50-54,65791
2010,San Antonio,H,55-59,54877
2010,San Antonio,H,60-64,44796
2010,San Antonio,H,65-69,30410
2010,San Antonio,H,70-74,21857
2010,San Antonio,H,75-79,16515
2011,San Antonio,H,50-54,67794
2011,San Antonio,H,55-59,56910
2011,San Antonio,H,60-64,47243
2011,San Antonio,H,65-69,32351
2011,San Antonio,H,70-74,22550
2011,San Antonio,H,75-79,17092
2012,San Antonio,H,50-54,69686
2012,San Antonio,H,55-59,59053
2012,San Antonio,H,60-64,48412
2012,San Antonio,H,65-69,35110
2012,San Antonio,H,70-74,23630
2012,San Antonio,H,75-79,17568
2013,San Antonio,H,50-54,71636
2013,San Antonio,H,55-59,60714
2013,San Antonio,H,60-64,50160
2013,San Antonio,H,65-69,37550
2013,San Antonio,H,70-74,25049
2013,San Antonio,H,75-79,18181
2014,San Antonio,H,50-54,73427
2014,San Antonio,H,55-59,62531
2014,San Antonio,H,60-64,51821
2014,San Antonio,H,65-69,40079
2014,San Antonio,H,70-74,26558
2014,San Antonio,H,75-79,18790
2015,San Antonio,H,50-54,74695
2015,San Antonio,H,55-59,64749
2015,San Antonio,H,60-64,53563
2015,San Antonio,H,65-69,42676
2015,San Antonio,H,70-74,27999
2015,San Antonio,H,75-79,19481
2016,San Antonio,H,50-54,75360
2016,San Antonio,H,55-59,66720
2016,San Antonio,H,60-64,55595
2016,San Antonio,H,65-69,44997
2016,San Antonio,H,70-74,29795
2016,San Antonio,H,75-79,20079
2017,San Antonio,H,50-54,75421
2017,San Antonio,H,55-59,68746
2017,San Antonio,H,60-64,57622
2017,San Antonio,H,65-69,46185
2017,San Antonio,H,70-74,32426
2017,San Antonio,H,75-79,20957
2018,San Antonio,H,50-54,75822
2018,San Antonio,H,55-59,70801
2018,San Antonio,H,60-64,59204
2018,San Antonio,H,65-69,47937
2018,San Antonio,H,70-74,34692
2018,San Antonio,H,75-79,22185
1999,Austin,W,50-54,10100
1999,Austin,W,55-59,6531
1999,Austin,W,60-64,4777
1999,Austin,W,65-69,3681
1999,Austin,W,70-74,2807
1999,Austin,W,75-79,1935
2000,Austin,W,50-54,11260
2000,Austin,W,55-59,7268
2000,Austin,W,60-64,5128
2000,Austin,W,65-69,3887
2000,Austin,W,70-74,2958
2000,Austin,W,75-79,2067
2001,Austin,W,50-54,12223
2001,Austin,W,55-59,7974
2001,Austin,W,60-64,5400
2001,Austin,W,65-69,4103
2001,Austin,W,70-74,3032
2001,Austin,W,75-79,2113
2002,Austin,W,50-54,12865
2002,Austin,W,55-59,8823
2002,Austin,W,60-64,5657
2002,Austin,W,65-69,4318
2002,Austin,W,70-74,3186
2002,Austin,W,75-79,2195
2003,Austin,W,50-54,13539
2003,Austin,W,55-59,9724
2003,Austin,W,60-64,5971
2003,Austin,W,65-69,4644
2003,Austin,W,70-74,3191
2003,Austin,W,75-79,2316
2004,Austin,W,50-54,14333
2004,Austin,W,55-59,10473
2004,Austin,W,60-64,6547
2004,Austin,W,65-69,4856
2004,Austin,W,70-74,3368
2004,Austin,W,75-79,2442
2005,Austin,W,50-54,15470
2005,Austin,W,55-59,11458
2005,Austin,W,60-64,7243
2005,Austin,W,65-69,5052
2005,Austin,W,70-74,3591
2005,Austin,W,75-79,2582
2006,Austin,W,50-54,16579
2006,Austin,W,55-59,12536
2006,Austin,W,60-64,8051
2006,Austin,W,65-69,5430
2006,Austin,W,70-74,3921
2006,Austin,W,75-79,2717
2007,Austin,W,50-54,18197
2007,Austin,W,55-59,13368
2007,Austin,W,60-64,8977
2007,Austin,W,65-69,5753
2007,Austin,W,70-74,4199
2007,Austin,W,75-79,2864
2008,Austin,W,50-54,19544
2008,Austin,W,55-59,14181
2008,Austin,W,60-64,10015
2008,Austin,W,65-69,6099
2008,Austin,W,70-74,4511
2008,Austin,W,75-79,2899
2009,Austin,W,50-54,20907
2009,Austin,W,55-59,15104
2009,Austin,W,60-64,10827
2009,Austin,W,65-69,6698
2009,Austin,W,70-74,4720
2009,Austin,W,75-79,3130
2010,Austin,W,50-54,22372
2010,Austin,W,55-59,16277
2010,Austin,W,60-64,11700
2010,Austin,W,65-69,7409
2010,Austin,W,70-74,4935
2010,Austin,W,75-79,3359
2011,Austin,W,50-54,23752
2011,Austin,W,55-59,17596
2011,Austin,W,60-64,12811
2011,Austin,W,65-69,8034
2011,Austin,W,70-74,5280
2011,Austin,W,75-79,3600
2012,Austin,W,50-54,25373
2012,Austin,W,55-59,18969
2012,Austin,W,60-64,13730
2012,Austin,W,65-69,8907
2012,Austin,W,70-74,5631
2012,Austin,W,75-79,3846
2013,Austin,W,50-54,26846
2013,Austin,W,55-59,20379
2013,Austin,W,60-64,14658
2013,Austin,W,65-69,9899
2013,Austin,W,70-74,6031
2013,Austin,W,75-79,4136
2014,Austin,W,50-54,28504
2014,Austin,W,55-59,21812
2014,Austin,W,60-64,15727
2014,Austin,W,65-69,10846
2014,Austin,W,70-74,6511
2014,Austin,W,75-79,4352
2015,Austin,W,50-54,29987
2015,Austin,W,55-59,23284
2015,Austin,W,60-64,17024
2015,Austin,W,65-69,11838
2015,Austin,W,70-74,7051
2015,Austin,W,75-79,4545
2016,Austin,W,50-54,31369
2016,Austin,W,55-59,24789
2016,Austin,W,60-64,18256
2016,Austin,W,65-69,12964
2016,Austin,W,70-74,7621
2016,Austin,W,75-79,4815
2017,Austin,W,50-54,32370
2017,Austin,W,55-59,26270
2017,Austin,W,60-64,19625
2017,Austin,W,65-69,13806
2017,Austin,W,70-74,8395
2017,Austin,W,75-79,5172
2018,Austin,W,50-54,33773
2018,Austin,W,55-59,27637
2018,Austin,W,60-64,20940
2018,Austin,W,65-69,14568
2018,Austin,W,70-74,9335
2018,Austin,W,75-79,5527
1999,Dallas,W,50-54,30145
1999,Dallas,W,55-59,19376
1999,Dallas,W,60-64,13523
1999,Dallas,W,65-69,9170
1999,Dallas,W,70-74,6628
1999,Dallas,W,75-79,4154
2000,Dallas,W,50-54,33276
2000,Dallas,W,55-59,21509
2000,Dallas,W,60-64,14505
2000,Dallas,W,65-69,9867
2000,Dallas,W,70-74,7079
2000,Dallas,W,75-79,4507
2001,Dallas,W,50-54,36484
2001,Dallas,W,55-59,23606
2001,Dallas,W,60-64,15601
2001,Dallas,W,65-69,10556
2001,Dallas,W,70-74,7538
2001,Dallas,W,75-79,4886
2002,Dallas,W,50-54,38839
2002,Dallas,W,55-59,26251
2002,Dallas,W,60-64,16657
2002,Dallas,W,65-69,11342
2002,Dallas,W,70-74,7890
2002,Dallas,W,75-79,5279
2003,Dallas,W,50-54,41522
2003,Dallas,W,55-59,28759
2003,Dallas,W,60-64,18074
2003,Dallas,W,65-69,12297
2003,Dallas,W,70-74,8301
2003,Dallas,W,75-79,5644
2004,Dallas,W,50-54,44358
2004,Dallas,W,55-59,31266
2004,Dallas,W,60-64,19577
2004,Dallas,W,65-69,13180
2004,Dallas,W,70-74,8747
2004,Dallas,W,75-79,6037
2005,Dallas,W,50-54,47659
2005,Dallas,W,55-59,33907
2005,Dallas,W,60-64,21371
2005,Dallas,W,65-69,14024
2005,Dallas,W,70-74,9436
2005,Dallas,W,75-79,6471
2006,Dallas,W,50-54,51306
2006,Dallas,W,55-59,36840
2006,Dallas,W,60-64,23287
2006,Dallas,W,65-69,15365
2006,Dallas,W,70-74,10210
2006,Dallas,W,75-79,6974
2007,Dallas,W,50-54,55948
2007,Dallas,W,55-59,39178
2007,Dallas,W,60-64,25754
2007,Dallas,W,65-69,16459
2007,Dallas,W,70-74,10980
2007,Dallas,W,75-79,7326
2008,Dallas,W,50-54,60038
2008,Dallas,W,55-59,41981
2008,Dallas,W,60-64,28163
2008,Dallas,W,65-69,17916
2008,Dallas,W,70-74,11859
2008,Dallas,W,75-79,7746
2009,Dallas,W,50-54,64755
2009,Dallas,W,55-59,44707
2009,Dallas,W,60-64,30586
2009,Dallas,W,65-69,19371
2009,Dallas,W,70-74,12671
2009,Dallas,W,75-79,8202
2010,Dallas,W,50-54,69799
2010,Dallas,W,55-59,47953
2010,Dallas,W,60-64,33185
2010,Dallas,W,65-69,21100
2010,Dallas,W,70-74,13612
2010,Dallas,W,75-79,8807
2011,Dallas,W,50-54,74614
2011,Dallas,W,55-59,51768
2011,Dallas,W,60-64,36170
2011,Dallas,W,65-69,22883
2011,Dallas,W,70-74,14549
2011,Dallas,W,75-79,9440
2012,Dallas,W,50-54,79766
2012,Dallas,W,55-59,56232
2012,Dallas,W,60-64,38734
2012,Dallas,W,65-69,25357
2012,Dallas,W,70-74,15539
2012,Dallas,W,75-79,10082
2013,Dallas,W,50-54,84788
2013,Dallas,W,55-59,60412
2013,Dallas,W,60-64,41290
2013,Dallas,W,65-69,27559
2013,Dallas,W,70-74,16875
2013,Dallas,W,75-79,10899
2014,Dallas,W,50-54,90106
2014,Dallas,W,55-59,65132
2014,Dallas,W,60-64,44126
2014,Dallas,W,65-69,29788
2014,Dallas,W,70-74,18380
2014,Dallas,W,75-79,11690
2015,Dallas,W,50-54,95302
2015,Dallas,W,55-59,70213
2015,Dallas,W,60-64,47574
2015,Dallas,W,65-69,32422
2015,Dallas,W,70-74,19971
2015,Dallas,W,75-79,12524
2016,Dallas,W,50-54,100757
2016,Dallas,W,55-59,75070
2016,Dallas,W,60-64,51358
2016,Dallas,W,65-69,35093
2016,Dallas,W,70-74,21590
2016,Dallas,W,75-79,13450
2017,Dallas,W,50-54,105575
2017,Dallas,W,55-59,79961
2017,Dallas,W,60-64,55556
2017,Dallas,W,65-69,37228
2017,Dallas,W,70-74,23856
2017,Dallas,W,75-79,14349
2018,Dallas,W,50-54,110426
2018,Dallas,W,55-59,84981
2018,Dallas,W,60-64,59527
2018,Dallas,W,65-69,39757
2018,Dallas,W,70-74,25915
2018,Dallas,W,75-79,15492
1999,El Paso,W,50-54,23693
1999,El Paso,W,55-59,17208
1999,El Paso,W,60-64,15429
1999,El Paso,W,65-69,13617
1999,El Paso,W,70-74,12087
1999,El Paso,W,75-79,7980
2000,El Paso,W,50-54,24966
2000,El Paso,W,55-59,18104
2000,El Paso,W,60-64,15667
2000,El Paso,W,65-69,14121
2000,El Paso,W,70-74,12627
2000,El Paso,W,75-79,8519
2001,El Paso,W,50-54,26678
