GEOID,Age,Race,estimate,moe
48001950100,55-64,ASIAN,10,11.313708498984761
48001950100,55-64,BLACK,40,24.698178070456937
48001950100,55-64,LATINO,9,18.384776310850235
48001950100,55-64,PACIFIC,0,13
48001950100,55-64,WHITE,695,119.85407794480753
48001950100,65-74,ASIAN,0,13
48001950100,65-74,BLACK,35,26.92582403567252
48001950100,65-74,LATINO,0,13
48001950100,65-74,PACIFIC,0,13
48001950100,65-74,WHITE,472,86.97700845625813
48001950100,75-84,ASIAN,0,13
48001950100,75-84,BLACK,54,43
48001950100,75-84,LATINO,0,13
48001950100,75-84,PACIFIC,0,13
48001950100,75-84,WHITE,130,44
48001950401,55-64,ASIAN,0,18
48001950401,55-64,BLACK,80,45.69463863518345
48001950401,55-64,LATINO,45,32.449961479175904
48001950401,55-64,PACIFIC,0,18
48001950401,55-64,WHITE,148,67.26812023536856
48001950401,65-74,ASIAN,0,18
48001950401,65-74,BLACK,8,22.80350850198276
48001950401,65-74,LATINO,26,40.24922359499622
48001950401,65-74,PACIFIC,0,18
48001950401,65-74,WHITE,21,19.924858845171276
48001950401,75-84,ASIAN,0,18
48001950401,75-84,BLACK,0,18
48001950401,75-84,LATINO,0,18
48001950401,75-84,PACIFIC,0,18
48001950401,75-84,WHITE,0,18
48001950402,55-64,ASIAN,0,18
48001950402,55-64,BLACK,329,115.41230437002807
48001950402,55-64,LATINO,119,58.82176467941097
48001950402,55-64,PACIFIC,0,18
48001950402,55-64,WHITE,212,70.83784299369935
48001950402,65-74,ASIAN,0,18
48001950402,65-74,BLACK,41,37.589892258425
48001950402,65-74,LATINO,23,31.622776601683793
48001950402,65-74,PACIFIC,0,18
48001950402,65-74,WHITE,130,55.97320787662612
48001950402,75-84,ASIAN,0,18
48001950402,75-84,BLACK,0,18
48001950402,75-84,LATINO,0,18
48001950402,75-84,PACIFIC,0,18
48001950402,75-84,WHITE,0,18
48001950500,55-64,ASIAN,4,14.7648230602334
48001950500,55-64,BLACK,34,31.78049716414141
48001950500,55-64,LATINO,72,46.400431032480725
48001950500,55-64,PACIFIC,0,13
48001950500,55-64,WHITE,258,93.23089616645332
48001950500,65-74,ASIAN,0,13
48001950500,65-74,BLACK,30,27.586228448267445
48001950500,65-74,LATINO,43,38.41874542459709
48001950500,65-74,PACIFIC,0,13
48001950500,65-74,WHITE,235,71.21797525905943
48001950500,75-84,ASIAN,0,13
48001950500,75-84,BLACK,40,58
48001950500,75-84,LATINO,28,37
48001950500,75-84,PACIFIC,0,13
48001950500,75-84,WHITE,86,60
48001950600,55-64,ASIAN,0,18
48001950600,55-64,BLACK,184,91.67878707749138
48001950600,55-64,LATINO,25,41.14608122288197
48001950600,55-64,PACIFIC,0,18
48001950600,55-64,WHITE,462,156.40012787718558
48001950600,65-74,ASIAN,0,18
48001950600,65-74,BLACK,96,60.90155991434045
48001950600,65-74,LATINO,15,32.449961479175904
48001950600,65-74,PACIFIC,0,18
48001950600,65-74,WHITE,365,106.07544484940895
48001950600,75-84,ASIAN,0,18
48001950600,75-84,BLACK,11,19
48001950600,75-84,LATINO,0,18
48001950600,75-84,PACIFIC,0,18
48001950600,75-84,WHITE,155,86
48001950700,55-64,ASIAN,1,13.152946437965905
48001950700,55-64,BLACK,81,37.53664875824692
48001950700,55-64,LATINO,25,34.539832078341085
48001950700,55-64,PACIFIC,0,13
48001950700,55-64,WHITE,103,51.62363799656123
48001950700,65-74,ASIAN,0,13
48001950700,65-74,BLACK,55,31.304951684997057
48001950700,65-74,LATINO,10,13.038404810405298
48001950700,65-74,PACIFIC,0,13
48001950700,65-74,WHITE,99,42.44997055358225
48001950700,75-84,ASIAN,2,6
48001950700,75-84,BLACK,7,12
48001950700,75-84,LATINO,0,13
48001950700,75-84,PACIFIC,0,13
48001950700,75-84,WHITE,12,11
48001950800,55-64,ASIAN,0,13
48001950800,55-64,BLACK,52,45.60701700396552
48001950800,55-64,LATINO,0,13
48001950800,55-64,PACIFIC,0,13
48001950800,55-64,WHITE,458,114.62111498323509
48001950800,65-74,ASIAN,0,13
48001950800,65-74,BLACK,28,43.01162633521314
48001950800,65-74,LATINO,20,30.870698080866262
48001950800,65-74,PACIFIC,0,13
48001950800,65-74,WHITE,255,91.2633551870629
48001950800,75-84,ASIAN,21,30
48001950800,75-84,BLACK,0,13
48001950800,75-84,LATINO,22,33
48001950800,75-84,PACIFIC,0,13
48001950800,75-84,WHITE,132,60
48001950901,55-64,ASIAN,0,18
48001950901,55-64,BLACK,141,66.85057965343307
48001950901,55-64,LATINO,41,44.77722635447622
48001950901,55-64,PACIFIC,0,18
48001950901,55-64,WHITE,842,154.85799947048264
48001950901,65-74,ASIAN,0,18
48001950901,65-74,BLACK,109,67.4166151627327
48001950901,65-74,LATINO,44,42.04759208325728
48001950901,65-74,PACIFIC,0,18
48001950901,65-74,WHITE,431,95.46203433826454
48001950901,75-84,ASIAN,0,18
48001950901,75-84,BLACK,0,18
48001950901,75-84,LATINO,8,14
48001950901,75-84,PACIFIC,0,18
