GEOID,Age,Race,pop
48001950700,65-69,LATINO,3
48001950700,65-69,WHITE,29
48001950700,70-74,API,0
48001950700,70-74,BLACK,40
48001950700,70-74,LATINO,3
48001950700,70-74,WHITE,34
48001950700,75-79,API,0
48001950700,75-79,BLACK,44
48001950700,75-79,LATINO,4
48001950700,75-79,WHITE,30
48001950700,80-84,API,2
48001950700,80-84,BLACK,32
48001950700,80-84,LATINO,1
48001950700,80-84,WHITE,27
48001950800,50-54,API,0
48001950800,50-54,BLACK,23
48001950800,50-54,LATINO,14
48001950800,50-54,WHITE,260
48001950800,55-59,API,4
48001950800,55-59,BLACK,13
48001950800,55-59,LATINO,10
48001950800,55-59,WHITE,207
48001950800,60-64,API,0
48001950800,60-64,BLACK,8
48001950800,60-64,LATINO,8
48001950800,60-64,WHITE,171
48001950800,65-69,API,6
48001950800,65-69,BLACK,15
48001950800,65-69,LATINO,3
48001950800,65-69,WHITE,183
48001950800,70-74,API,6
48001950800,70-74,BLACK,10
48001950800,70-74,LATINO,2
48001950800,70-74,WHITE,203
48001950800,75-79,API,0
48001950800,75-79,BLACK,3
48001950800,75-79,LATINO,1
48001950800,75-79,WHITE,213
48001950800,80-84,API,0
48001950800,80-84,BLACK,5
48001950800,80-84,LATINO,0
48001950800,80-84,WHITE,175
48001950900,50-54,API,4
48001950900,50-54,BLACK,35
48001950900,50-54,LATINO,23
48001950900,50-54,WHITE,571
48001950900,55-59,API,4
48001950900,55-59,BLACK,42
48001950900,55-59,LATINO,8
48001950900,55-59,WHITE,421
48001950900,60-64,API,2
48001950900,60-64,BLACK,38
48001950900,60-64,LATINO,5
48001950900,60-64,WHITE,357
48001950900,65-69,API,0
48001950900,65-69,BLACK,40
48001950900,65-69,LATINO,9
48001950900,65-69,WHITE,338
48001950900,70-74,API,0
48001950900,70-74,BLACK,36
48001950900,70-74,LATINO,6
48001950900,70-74,WHITE,277
48001950900,75-79,API,0
48001950900,75-79,BLACK,26
48001950900,75-79,LATINO,0
48001950900,75-79,WHITE,192
48001950900,80-84,API,0
48001950900,80-84,BLACK,15
48001950900,80-84,LATINO,1
48001950900,80-84,WHITE,120
48001951000,50-54,API,0
48001951000,50-54,BLACK,16
48001951000,50-54,LATINO,5
48001951000,50-54,WHITE,341
48001951000,55-59,API,4
48001951000,55-59,BLACK,9
48001951000,55-59,LATINO,1
48001951000,55-59,WHITE,308
48001951000,60-64,API,0
48001951000,60-64,BLACK,13
48001951000,60-64,LATINO,2
48001951000,60-64,WHITE,281
48001951000,65-69,API,2
48001951000,65-69,BLACK,20
48001951000,65-69,LATINO,2
48001951000,65-69,WHITE,262
48001951000,70-74,API,0
48001951000,70-74,BLACK,21
48001951000,70-74,LATINO,3
48001951000,70-74,WHITE,223
48001951000,75-79,API,0
48001951000,75-79,BLACK,12
48001951000,75-79,LATINO,3
48001951000,75-79,WHITE,162
48001951000,80-84,API,0
48001951000,80-84,BLACK,10
48001951000,80-84,LATINO,0
48001951000,80-84,WHITE,124
48003950100,50-54,API,2
48003950100,50-54,BLACK,0
48003950100,50-54,LATINO,17
48003950100,50-54,WHITE,74
48003950100,55-59,API,6
48003950100,55-59,BLACK,0
48003950100,55-59,LATINO,10
48003950100,55-59,WHITE,64
48003950100,60-64,API,4
48003950100,60-64,BLACK,0
48003950100,60-64,LATINO,5
48003950100,60-64,WHITE,55
48003950100,65-69,API,2
48003950100,65-69,BLACK,2
48003950100,65-69,LATINO,2
48003950100,65-69,WHITE,68
48003950100,70-74,API,0
48003950100,70-74,BLACK,0
48003950100,70-74,LATINO,1
48003950100,70-74,WHITE,47
48003950100,75-79,API,0
48003950100,75-79,BLACK,0
48003950100,75-79,LATINO,1
48003950100,75-79,WHITE,30
48003950100,80-84,API,2
48003950100,80-84,BLACK,0
48003950100,80-84,LATINO,0
48003950100,80-84,WHITE,9
48003950200,50-54,API,14
48003950200,50-54,BLACK,9
48003950200,50-54,LATINO,65
48003950200,50-54,WHITE,205
48003950200,55-59,API,4
48003950200,55-59,BLACK,11
48003950200,55-59,LATINO,40
48003950200,55-59,WHITE,176
48003950200,60-64,API,6
48003950200,60-64,BLACK,4
48003950200,60-64,LATINO,42
48003950200,60-64,WHITE,168
48003950200,65-69,API,4
48003950200,65-69,BLACK,6
48003950200,65-69,LATINO,26
48003950200,65-69,WHITE,195
48003950200,70-74,API,0
48003950200,70-74,BLACK,4
48003950200,70-74,LATINO,16
48003950200,70-74,WHITE,199
48003950200,75-79,API,0
48003950200,75-79,BLACK,3
48003950200,75-79,LATINO,13
48003950200,75-79,WHITE,175
48003950200,80-84,API,0
48003950200,80-84,BLACK,1
48003950200,80-84,LATINO,6
48003950200,80-84,WHITE,97
48003950300,50-54,API,6
48003950300,50-54,BLACK,5
48003950300,50-54,LATINO,89
48003950300,50-54,WHITE,75
48003950300,55-59,API,2
48003950300,55-59,BLACK,4
48003950300,55-59,LATINO,57
48003950300,55-59,WHITE,99
48003950300,60-64,API,2
48003950300,60-64,BLACK,3
48003950300,60-64,LATINO,50
48003950300,60-64,WHITE,78
48003950300,65-69,API,0
48003950300,65-69,BLACK,1
48003950300,65-69,LATINO,44
48003950300,65-69,WHITE,77
48003950300,70-74,API,0
48003950300,70-74,BLACK,3
48003950300,70-74,LATINO,25
48003950300,70-74,WHITE,65
48003950300,75-79,API,0
48003950300,75-79,BLACK,0
48003950300,75-79,LATINO,14
48003950300,75-79,WHITE,62
48003950300,80-84,API,0
48003950300,80-84,BLACK,0
48003950300,80-84,LATINO,12
48003950300,80-84,WHITE,33
48003950400,50-54,API,0
48003950400,50-54,BLACK,0
48003950400,50-54,LATINO,44
48003950400,50-54,WHITE,93
48003950400,55-59,API,0
48003950400,55-59,BLACK,0
48003950400,55-59,LATINO,35
48003950400,55-59,WHITE,82
48003950400,60-64,API,0
48003950400,60-64,BLACK,0
48003950400,60-64,LATINO,20
48003950400,60-64,WHITE,73
48003950400,65-69,API,0
48003950400,65-69,BLACK,0
48003950400,65-69,LATINO,14
48003950400,65-69,WHITE,56
48003950400,70-74,API,0
48003950400,70-74,BLACK,1
48003950400,70-74,LATINO,7
48003950400,70-74,WHITE,64
48003950400,75-79,API,0
48003950400,75-79,BLACK,0
48003950400,75-79,LATINO,9
48003950400,75-79,WHITE,42
48003950400,80-84,API,0
48003950400,80-84,BLACK,1
48003950400,80-84,LATINO,6
48003950400,80-84,WHITE,23
48005000100,50-54,API,2
48005000100,50-54,BLACK,13
48005000100,50-54,LATINO,19
48005000100,50-54,WHITE,536
48005000100,55-59,API,8
48005000100,55-59,BLACK,7
48005000100,55-59,LATINO,16
48005000100,55-59,WHITE,455
48005000100,60-64,API,0
48005000100,60-64,BLACK,6
48005000100,60-64,LATINO,8
48005000100,60-64,WHITE,364
48005000100,65-69,API,2
48005000100,65-69,BLACK,4
48005000100,65-69,LATINO,2
48005000100,65-69,WHITE,287
48005000100,70-74,API,2
48005000100,70-74,BLACK,5
48005000100,70-74,LATINO,6
48005000100,70-74,WHITE,228
48005000100,75-79,API,0
48005000100,75-79,BLACK,1
48005000100,75-79,LATINO,3
48005000100,75-79,WHITE,144
48005000100,80-84,API,0
48005000100,80-84,BLACK,0
48005000100,80-84,LATINO,1
48005000100,80-84,WHITE,107
48005000200,50-54,API,6
48005000200,50-54,BLACK,23
48005000200,50-54,LATINO,20
48005000200,50-54,WHITE,346
48005000200,55-59,API,4
48005000200,55-59,BLACK,16
48005000200,55-59,LATINO,13
48005000200,55-59,WHITE,308
48005000200,60-64,API,2
48005000200,60-64,BLACK,14
48005000200,60-64,LATINO,10
48005000200,60-64,WHITE,245
48005000200,65-69,API,2
48005000200,65-69,BLACK,9
48005000200,65-69,LATINO,8
48005000200,65-69,WHITE,223
48005000200,70-74,API,2
48005000200,70-74,BLACK,9
48005000200,70-74,LATINO,8
48005000200,70-74,WHITE,155
48005000200,75-79,API,2
48005000200,75-79,BLACK,5
48005000200,75-79,LATINO,2
48005000200,75-79,WHITE,120
48005000200,80-84,API,0
48005000200,80-84,BLACK,1
48005000200,80-84,LATINO,7
48005000200,80-84,WHITE,79
48005000300,50-54,API,8
48005000300,50-54,BLACK,38
48005000300,50-54,LATINO,32
48005000300,50-54,WHITE,526
48005000300,55-59,API,0
48005000300,55-59,BLACK,25
48005000300,55-59,LATINO,28
48005000300,55-59,WHITE,380
48005000300,60-64,API,2
48005000300,60-64,BLACK,14
48005000300,60-64,LATINO,19
48005000300,60-64,WHITE,291
48005000300,65-69,API,0
48005000300,65-69,BLACK,9
48005000300,65-69,LATINO,8
48005000300,65-69,WHITE,264
48005000300,70-74,API,0
48005000300,70-74,BLACK,8
48005000300,70-74,LATINO,2
48005000300,70-74,WHITE,193
48005000300,75-79,API,0
48005000300,75-79,BLACK,6
48005000300,75-79,LATINO,3
48005000300,75-79,WHITE,140
48005000300,80-84,API,0
48005000300,80-84,BLACK,2
48005000300,80-84,LATINO,1
48005000300,80-84,WHITE,97
48005000400,50-54,API,0
48005000400,50-54,BLACK,47
48005000400,50-54,LATINO,34
48005000400,50-54,WHITE,181
48005000400,55-59,API,0
48005000400,55-59,BLACK,39
48005000400,55-59,LATINO,21
48005000400,55-59,WHITE,160
48005000400,60-64,API,4
48005000400,60-64,BLACK,33
48005000400,60-64,LATINO,19
48005000400,60-64,WHITE,171
48005000400,65-69,API,2
48005000400,65-69,BLACK,16
48005000400,65-69,LATINO,8
48005000400,65-69,WHITE,155
48005000400,70-74,API,4
48005000400,70-74,BLACK,26
48005000400,70-74,LATINO,1
48005000400,70-74,WHITE,193
48005000400,75-79,API,2
48005000400,75-79,BLACK,24
48005000400,75-79,LATINO,4
48005000400,75-79,WHITE,193
48005000400,80-84,API,0
48005000400,80-84,BLACK,27
48005000400,80-84,LATINO,3
48005000400,80-84,WHITE,159
48005000500,50-54,API,0
48005000500,50-54,BLACK,182
48005000500,50-54,LATINO,14
48005000500,50-54,WHITE,43
48005000500,55-59,API,0
48005000500,55-59,BLACK,141
48005000500,55-59,LATINO,15
48005000500,55-59,WHITE,35
48005000500,60-64,API,0
48005000500,60-64,BLACK,142
48005000500,60-64,LATINO,5
48005000500,60-64,WHITE,23
48005000500,65-69,API,0
48005000500,65-69,BLACK,128
48005000500,65-69,LATINO,4
48005000500,65-69,WHITE,13
48005000500,70-74,API,2
48005000500,70-74,BLACK,125
48005000500,70-74,LATINO,3
48005000500,70-74,WHITE,19
48005000500,75-79,API,2
48005000500,75-79,BLACK,100
48005000500,75-79,LATINO,5
48005000500,75-79,WHITE,23
48005000500,80-84,API,0
48005000500,80-84,BLACK,82
48005000500,80-84,LATINO,4
48005000500,80-84,WHITE,17
48005000600,50-54,API,8
48005000600,50-54,BLACK,83
48005000600,50-54,LATINO,45
48005000600,50-54,WHITE,105
48005000600,55-59,API,4
